tt,BrandLocale,EL-CE,MC-CE,CL-CE,EL-MX,MC-MX,CL-MX,OR-MX,BB-MX,LM-MX,MC-BR,CL-BR,LM-BR,JM-BR,AV-MX,TF-BR,EL-BR,JM-MX
1,RID,test999@test.com,test999123@gmail.com,test9991@test.com,test999@test.com,testcheckingelc1234@test.com,test999@test.com,test999@test.com,test999@test.com,test888@test.com,test999@qatest.com,test999@qa.com,test999@qa.com,test999@qatest.com,test8888@test.com,test999@qa.com,test999@qa.com,test999@test.com
1,RID1,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,testtaiko123@test.com,testtaiko123@test.com,testtaiko123@test.com,testtaiko123@test.com,testtaiko123@test.com,testtaiko123@test.com,testtaiko123@qatest.com,testtaiko123@gmail.com,testtaiko123@qa.com,testtaiko123@qatest.com,testtaiko123@test.com,testtaiko123@qa.com,testtaiko123@qa.com,testtaiko123@test.com
1,RID2,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,testtaiko456@test.com,testtaiko456@test.com,testtaiko456@test.com,testtaiko456@test.com,testtaiko456@test.com,testtaiko456@test.com,testtaiko456@qatest.com,testtaiko456@gmail.com,testtaiko456@qa.com,testtaiko456@qatest.com,testtaiko456@test.com,testtaiko456@qa.com,testtaiko456@qa.com,testtaiko456@test.com
1,RID3,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,testtaiko678@test.com,testtaiko678@test.com,testtaiko678@test.com,testtaiko678@test.com,testtaiko678@test.com,testtaiko678@test.com,testtaiko678@qatest.com,testtaiko678@gmail.com,testtaiko678@qa.com,testtaiko678@qatest.com,testtaiko678@test.com,testtaiko678@qa.com,testtaiko678@qa.com,testtaiko678@test.com
1,RID4,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,testtaiko44@qatest.com,testtaiko44@gmail.com,testtaiko44@qa.com,testtaiko44@qatest.com,test44@44test.com,testtaiko44@qa.com,testtaiko44@qa.com,test44@44test.com
1,RID5,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,test55@55test.com,test55@55test.com,test55@55test.com,test55@55test.com,test55@55test.com,test55@55test.com,testtaiko55@qatest.com,testtaiko55@gmail.com,testtaiko55@qa.com,testtaiko55@qatest.com,test55@55test.com,testtaiko55@qa.com,testtaiko55@qa.com,test55@55test.com
1,RID6,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,test66@66test.com,test66@66test.com,test66@66test.com,test66@66test.com,test66@66test.com,test66@66test.com,testtaiko66@qatest.com,testtaiko66@gmail.com,testtaiko66@qa.com,testtaiko66@qatest.com,test66@66test.com,testtaiko66@qa.com,testtaiko66@qa.com,test66@66test.com
1,RID7,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,test77@77test.com,test77@77test.com,test77@77test.com,test77@77test.com,test77@77test.com,test77@77test.com,testtaiko77@qatest.com,testtaiko77@gmail.com,testtaiko77@qa.com,testtaiko77@qatest.com,test77@77test.com,testtaiko77@qa.com,testtaiko77@qa.com,test77@77test.com
1,RID8,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,test88@88test.com,test88@88test.com,test88@88test.com,test88@88test.com,test88@88test.com,test88@88test.com,testtaiko88@qatest.com,testtaiko88@gmail.com,testtaiko88@qa.com,testtaiko88@qatest.com,test88@88test.com,testtaiko88@qa.com,testtaiko88@qa.com,test88@88test.com
1,RID9,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,test99@99test.com,test99@99test.com,test99@99test.com,test99@99test.com,test99@99test.com,test99@99test.com,testtaiko99@qatest.com,testtaiko99@gmail.com,testtaiko99@qa.com,testtaiko99@qatest.com,test99@99test.com,testtaiko99@qa.com,testtaiko99@qa.com,test99@99test.com
1,RID10,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,test10@10test.com,test10@10test.com,test10@10test.com,test10@10test.com,test10@10test.com,test10@10test.com,testtaiko10@qatest.com,testtaiko10@gmail.com,testtaiko10@qa.com,testtaiko10@qatest.com,test10@10test.com,testtaiko10@qa.com,testtaiko10@qa.com,test10@10test.com
1,RID11,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,test11@11test.com,test11@11test.com,test11@11test.com,test11@11test.com,test11@11test.com,test11@11test.com,testtaiko11@qatest.com,testtaiko11@gmail.com,testtaiko11@qa.com,testtaiko11@qatest.com,test11@11test.com,testtaiko11@qa.com,testtaiko11@qa.com,test11@11test.com
1,RID12,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,test12@12test.com,test12@12test.com,test12@12test.com,test12@12test.com,test12@12test.com,test12@12test.com,testtaiko12@qatest.com,testtaiko12@gmail.com,testtaiko12@qa.com,testtaiko12@qatest.com,test12@12test.com,testtaiko12@qa.com,testtaiko12@qa.com,test12@12test.com
1,RID13,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,test13@13test.com,test13@13test.com,test13@13test.com,test13@13test.com,test13@13test.com,test13@13test.com,testtaiko13@qatest.com,testtaiko13@gmail.com,testtaiko13@qa.com,testtaiko13@qatest.com,test13@13test.com,testtaiko13@qa.com,testtaiko13@qa.com,test13@13test.com
1,RID14,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,test14@14test.com,test14@14test.com,test14@14test.com,test14@14test.com,test14@14test.com,test14@14test.com,testtaiko14@qatest.com,testtaiko14@gmail.com,testtaiko14@qa.com,testtaiko14@qatest.com,test14@14test.com,testtaiko14@qa.com,testtaiko14@qa.com,test14@14test.com
1,RID15,testqalatam123@gmail.com,testqalatam123@gmail.com,test9991@test.com,test15@15test.com,test15@15test.com,test15@15test.com,test15@15test.com,test15@15test.com,test15@15test.com,testtaiko15@qatest.com,testtaiko15@gmail.com,testtaiko15@qa.com,testtaiko15@qatest.com,test15@15test.com,testtaiko15@qa.com,testtaiko15@qa.com,test15@15test.com
1,RPWD,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
1,NPWD,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
1,ACTRID,test999@test.com,test999123@gmail.com,test999@test.com,test999@test.com,testcheckingelc1234@test.com,test999@test.com,test999@test.com,test999@test.com,test888@test.com,testaccountlatam@gmail.com,test999@qa.com,test999@qa.com,test999@qatest.com,test8888@test.com,test999@qa.com,test999@qa.com,test999@test.com
1,ACTRPWD,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
1,Cartmergeid,test999@test.com,test999123@gmail.com,test999@test.com,testcartm@test.com,testcartm@test.com,testcartm@test.com,testcartm@test.com,testcartm@test.com,testcartm@test.com,testcartm@qatest.com,testcartm2@qatest.com,testcartm@qatest.com,testcartm@qatest.com,testcartm@test.com,testcartm@qatest.com,testcartm@qatest.com,testcartm@test.com
1,Cartmergepwd,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
1,monthname,,,,,MARZO,,,,,,,,,,,,
1,ccmonth,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
1,fullname,,,,,,,,,,DONOT,DONOT,DONOTSHIP,DONOT,,DONOT,DONOT,
1,CPF,,,,,,,,,,218.312.103-39,,,,,,,
1,EXPDATE,325,325,325,325,325,325,325,,325,330,330,330,330,,330,330,
1,PWDHINT,,,,,,,,,,,,,,,,,
1,ZIPCODE1,,,,,,,,,,,,71219,,,,,
1,ZIPCODE2,,,,,,,,,,,,900,,,,,
1,SelectQTY,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,VALIDOFFERCODE,,,test_global_percent_discount,,test_global_percent_discount,,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,
1,INVALIDOFFERCODE,,,test_global_percent_discountt,,test_global_percent_discountt,,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,
1,VALIDOFFERMSG,,,The discount has been applied.,,¡Felicidades! Selecciona tu regalo,,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,
1,INVALIDOFFERMSG,,,"Lo sentimos, el código de oferta test_global_percent_discountt no es válido.",,"Lo sentimos, el código de oferta test_global_percent_discountttest_global_percent_discount no es válido.",,"Lo sentimos, el código de oferta test_global_percent_discounttest_global_percent_discountt no es válido.",El código promocional test_global_percent_discountt no es válido.,"Lo sentimos, el código de oferta test_global_percent_discountttest_global_percent_discount no es válido.",O código de oferta inserido não é válido.,O código de oferta test_global_percent_discountt não é válido.,O código de oferta test_global_percent_discountttest_global_percent_discount não é válido.,O código de oferta test_global_percent_discountt não é válido.,"Lo sentimos, el código de oferta test_global_percent_discountttest_global_percent_discount no es válido.",O código de oferta inserido não é válido.,O código de oferta inserido não é válido.,
1,REMOVEPRODUCT,¡Ups! Por favor agrega un producto a tu bolsa de compras para comprar.,¡Ups! Por favor agrega un producto a tu bolsa de compras para comprar.,¡Ups! Por favor agrega un producto a tu bolsa de compras para comprar.,¡Ups! Por favor agrega un producto a tu bolsa de compras para comprar.,¡Ups! Por favor agrega un producto a tu bolsa de compras para comprar., ¡Ups! Por favor agrega un producto a tu bolsa de compras para comprar. ,¡Ups! Por favor agrega un producto a tu bolsa de compras para comprar.,Añada un producto a la cesta de la compra para poder tramitar el pedido,Actualmente no hay artículos en tu bolsa de compras.,"Por favor, adicione um produto à sua sacola de compras para finalizar o pedido.","Por favor, adicione um produto à sua sacola de compras para concluir sua compra.",Seu carrinho de compras está vazio.,"Por favor, adicione um produto à sua sacola de compras para concluir sua compra.",¡Ups! Por favor agrega un producto a tu bolsa de compras para comprar.,"Por favor, adicione um produto à sua sacola de compras para finalizar o pedido.","Por favor, adicione um produto à sua sacola de compras para finalizar o pedido.", ¡Ups! Por favor agrega un producto a tu bolsa de compras para comprar. 
1,Favproduct,,,Chubby Stick Moisturizing Lip Colour Balm,Pure Color Envy Matte,PRO LONGWEAR CONCEALER,,Three Part Harmony™,,,,,,,,,,
1,accountsignouttext,"Has cerrado sesión, gracias por visitar esteelauder.cl","LA SESIÓN HA EXPIRADO, POR FAVOR VUELVE A INICIAR SESIÓN.","LA SESIÓN HA EXPIRADO, POR FAVOR VUELVE A INICIAR SESIÓN.","Has cerrado sesión, gracias por visitar esteelauder.com.mx","LA SESIÓN HA EXPIRADO, POR FAVOR VUELVE A INICIAR SESIÓN.",,"Has cerrado sesión, gracias por visitar origins.com.mx",Debido al periodo de inactividad su sesión ha expirado. Asegúrese de iniciar sesión de nuevo.,,,,,,"La sesión ha expirado, por favor vuelve a iniciar sesión.",Debido al periodo de inactividad su sesión ha expirado. Asegúrese de iniciar sesión de nuevo.,Você foi desconectado.,"Has cerrado sesión, gracias por visitar jomalone.com.mx"
1,regioname,Región Metropolitana de Santiago,,,,,,,,,,,,,,,,
1,colonyname,Alhué,,,México,México,Morelos,México,,México,,,,,El Tejabán,,,Morelos
1,expectedcartmessage,"¡Que bueno que estás de regreso! Por favor revisa tu orden con cuidado, ya que tu bolsa de compras podría contener productos de alguna visita anterior.","¡Que bueno que estás de regreso! Por favor revisa tu orden con cuidado, ya que tu bolsa de compras podría contener productos de alguna visita anterior.","¡Que bueno que estás de regreso! Por favor revisa tu orden con cuidado, ya que tu bolsa de compras podría contener productos de alguna visita anterior.","¡Que bueno que estás de regreso! Por favor revisa tu orden con cuidado, ya que tu bolsa de compras podría contener productos de alguna visita anterior.","¡Que bueno que estás de regreso! Por favor revisa tu orden con cuidado, ya que tu bolsa de compras podría contener productos de alguna visita anterior.","¡Que bueno que estás de regreso! Por favor revisa tu orden con cuidado, ya que tu bolsa de compras podría contener productos de alguna visita anterior.","¡Que bueno que estás de regreso! Por favor revisa tu orden con cuidado, ya que tu bolsa de compras podría contener productos de alguna visita anterior.","Por favor, compruebe sus compras con cuidado, ya que pueden contener elementos de una visita anterior","¡Que bueno que estás de regreso! Por favor revisa tu orden con cuidado, ya que tu bolsa de compras podría contener productos de alguna visita anterior.","Reveja seu pedido atenciosamente, pois sua sacola de compras pode conter itens de uma visita anterior.","Por favor, revise o seu pedido com atenção, uma vez que a sua sacola de compras pode conter itens de outra visita.","Por favor, revise o seu pedido com atenção, uma vez que a sua sacola de compras pode conter itens de outra visita.","Por favor, revise o seu pedido com atenção, uma vez que a sua sacola de compras pode conter itens de outra visita.","Por favor, compruebe sus compras con cuidado, ya que pueden contener elementos de una visita anterior","Por favor, compruebe sus compras con cuidado, ya que pueden contener elementos de una visita anterior","Por favor, compruebe sus compras con cuidado, ya que pueden contener elementos de una visita anterior","¡Que bueno que estás de regreso! Por favor revisa tu orden con cuidado, ya que tu bolsa de compras podría contener productos de alguna visita anterior."
1,ORDERMESSAGE,,,,Número de confirmación,Número de PEDIDO,Número de confirmación,CONFIRMACIÓN DE PEDIDO,Número de confirmación,Número de confirmación,NÚMERO DO PEDIDO ,Seu pedido n° ,O número de seu pedido é,O número de seu pedido é,Número de orden,Seu número de confirmação é,Seu número de confirmação é,Número de confirmación
1,cashindex,1,1,1,2,1,1,1,1,1,1,1,1,1,1,,,1
1,ORDERMESSAGE2,,,,,,,,,,,,,,GRACIAS POR REALIZAR TU PEDIDO,OBRIGADX PELO SEU PEDIDO TOO FACED.,OBRIGADX PELO SEU PEDIDO,
1,accountsignupvalidation,,,,Mi Cuenta,MI CUENTA,,Pedidos,MI CUENTA,,,,,,Sube una foto,,,Mi cuenta
1,skuId1,SKU121014,SKU4367,SKU12414,SKU145175,SKU157430,SKU61550,SKU22713,SKU155853,SKU94866,SKU21985,SKU44058,SKU46405,SKU86147,SKU42249,SKU117886,SKU85265,SKU63624
1,skuId2,SKU144351,SKU110284,SKU43062,SKU145172,SKU3830,SKU153690,SKU130463,SKU155853,SKU86580,SKU106532,SKU44058,SKU120025,SKU122832,SKU130251,SKU117886,SKU77775,SKU78848
1,skuId3,SKU26253,SKU58360,SKU14124,SKU66141,SKU100048,SKU126687,SKU36934,SKU152267,SKU77343,SKU5484,SKU54733,SKU48997,SKU153724,SKU104746,SKU117789,SKU88788,SKU82162
1,skuId4,SKU170888,SKU55522,SKU43058,SKU84266,SKU118969,SKU130195,SKU98640,SKU156670,SKU101933,SKU96148,SKU31720,SKU55859,SKU63576,SKU80489,SKU107747,SKU88788,SKU58015
1,skuId5,SKU180541,SKU116820,SKU107463,SKU90136,SKU86126,SKU128581,SKU97725,SKU112040,SKU49000,SKU4935,SKU14125,SKU48997,SKU63604,SKU105588,SKU133520,SKU90033,SKU21689
1,ccyear,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,ACSTATE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,ACCITY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,ACREGION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,ACCOLONY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,ACZIPCODE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,chstate,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,chcity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,chregion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,chcolony,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,chzip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,paypalurl,/www.paypal.com/,/www.paypal.com/,/www.paypal.com/,paypal,paypal,paypal,paypal,paypal,paypal,/www.paypal.com/,/www.paypal.com/,,/www.paypal.com/,paypal,/www.paypal.com/,/www.paypal.com/,paypal
1,birthdate,,,,,,,,,,,,,,1,,,
1,birthmonth,,,,,,,,,,,,,,1,,,
1,birthyear,,,,,,,,,,,,,,,,,
1,Cashtype,OXXO,OXXO,OXXO,OXXO,OXXO,OXXO,OXXO,OXXO,OXXO,OXXO,OXXO,OXXO,OXXO,OXXO,OXXO,OXXO,OXXO
1,QTYLimit,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1,cookievalue,,,,,,,,,,,,,,,,,
1,placeOrder,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
1,toPlaceOrder,0,0,0,0,0,0,0,0,0,TRUE,TRUE,1,1,0,1,1,0
