tt,BrandLocale,AV-UK,BB-UK,BK-UK,BU-UK,CL-UK,DA-UK,DJ-UK,EL-UK,FM-UK,JM-UK,LM-UK,LS-UK,MC-UK,OR-UK,TF-UK
1,RID,elcqauk+01@gmail.com,elcqauk+01@gmail.com,elcqauk+01@gmail.com,elcqauk+01@gmail.com,elcqauk+01@gmail.com,elcqauk+01@gmail.com,TestUK1@test.com,elcqauk+01@gmail.com,elcqauk+01@gmail.com,testuk1@gmail.com,elcqauk+01@gmail.com,TestUK1@test.com,elcqauk+01@gmail.com,TestUK1@test.com,elcqauk+01@gmail.com
1,RID1,elcqauk+02@gmail.com,elcqauk+02@gmail.com,elcqauk+02@gmail.com,elcqauk+02@gmail.com,elcqauk+02@gmail.com,elcqauk+02@gmail.com,TestUK2@test.com,elcqauk+02@gmail.com,elcqauk+02@gmail.com,testuk2@gmail.com,elcqauk+02@gmail.com,TestUK2@test.com,elcqauk+02@gmail.com,TestUK2@test.com,elcqauk+02@gmail.com
1,RID2,elcqauk+03@gmail.com,elcqauk+03@gmail.com,elcqauk+03@gmail.com,elcqauk+03@gmail.com,elcqauk+03@gmail.com,elcqauk+03@gmail.com,TestUK3@test.com,elcqauk+03@gmail.com,elcqauk+03@gmail.com,testuk3@gmail.com,elcqauk+03@gmail.com,TestUK3@test.com,elcqauk+03@gmail.com,TestUK3@test.com,elcqauk+03@gmail.com
1,RID3,elcqauk+04@gmail.com,elcqauk+04@gmail.com,elcqauk+04@gmail.com,elcqauk+04@gmail.com,elcqauk+04@gmail.com,elcqauk+04@gmail.com,TestUK4@test.com,elcqauk+04@gmail.com,elcqauk+04@gmail.com,testuk4@gmail.com,elcqauk+04@gmail.com,TestUK4@test.com,elcqauk+04@gmail.com,TestUK4@test.com,elcqauk+04@gmail.com
1,RID4,elcqauk+05@gmail.com,elcqauk+05@gmail.com,elcqauk+05@gmail.com,elcqauk+05@gmail.com,elcqauk+05@gmail.com,elcqauk+05@gmail.com,TestUK5@test.com,elcqauk+05@gmail.com,elcqauk+05@gmail.com,testuk5@gmail.com,elcqauk+05@gmail.com,TestUK5@test.com,elcqauk+05@gmail.com,TestUK5@test.com,elcqauk+05@gmail.com
1,RID5,elcqauk+06@gmail.com,elcqauk+06@gmail.com,elcqauk+06@gmail.com,elcqauk+06@gmail.com,elcqauk+06@gmail.com,elcqauk+06@gmail.com,TestUK6@test.com,elcqauk+06@gmail.com,elcqauk+06@gmail.com,testuk6@gmail.com,elcqauk+06@gmail.com,TestUK6@test.com,elcqauk+06@gmail.com,TestUK6@test.com,elcqauk+06@gmail.com
1,RID6,elcqauk+07@gmail.com,elcqauk+07@gmail.com,elcqauk+07@gmail.com,elcqauk+07@gmail.com,elcqauk+07@gmail.com,elcqauk+07@gmail.com,TestUK7@test.com,elcqauk+07@gmail.com,elcqauk+07@gmail.com,testuk7@gmail.com,elcqauk+07@gmail.com,TestUK7@test.com,elcqauk+07@gmail.com,TestUK7@test.com,elcqauk+07@gmail.com
1,RID7,elcqauk+08@gmail.com,elcqauk+08@gmail.com,elcqauk+08@gmail.com,elcqauk+08@gmail.com,elcqauk+08@gmail.com,elcqauk+08@gmail.com,TestUK8@test.com,elcqauk+08@gmail.com,elcqauk+08@gmail.com,testuk3@gmail.com,elcqauk+08@gmail.com,TestUK8@test.com,elcqauk+08@gmail.com,TestUK8@test.com,elcqauk+08@gmail.com
1,RID8,elcqauk+09@gmail.com,elcqauk+09@gmail.com,elcqauk+09@gmail.com,elcqauk+09@gmail.com,elcqauk+09@gmail.com,elcqauk+09@gmail.com,TestUK9@test.com,elcqauk+09@gmail.com,elcqauk+09@gmail.com,testuk4@gmail.com,elcqauk+09@gmail.com,TestUK9@test.com,elcqauk+09@gmail.com,TestUK9@test.com,elcqauk+09@gmail.com
1,RID9,elcqauk+10@gmail.com,elcqauk+10@gmail.com,elcqauk+10@gmail.com,elcqauk+10@gmail.com,elcqauk+10@gmail.com,elcqauk+10@gmail.com,TestUK10@test.com,elcqauk+10@gmail.com,elcqauk+10@gmail.com,testuk5@gmail.com,elcqauk+10@gmail.com,TestUK10@test.com,elcqauk+10@gmail.com,TestUK10@test.com,elcqauk+10@gmail.com
1,RID10,elcqauk+11@gmail.com,elcqauk+11@gmail.com,elcqauk+11@gmail.com,elcqauk+11@gmail.com,elcqauk+11@gmail.com,elcqauk+11@gmail.com,elcqauk+11@gmail.com,elcqauk+11@gmail.com,elcqauk+12@gmail.com,testuk6@gmail.com,elcqauk+11@gmail.com,elcqauk+11@gmail.com,elcqauk+11@gmail.com,elcqauk+11@gmail.com,elcqauk+11@gmail.com
1,RID11,elcqauk+12@gmail.com,elcqauk+12@gmail.com,5c55c3e2df@c23egg.com,elcqauk+12@gmail.com,elcqauk+12@gmail.com,elcqauk+12@gmail.com,elcqauk+12@gmail.com,elcqauk+12@gmail.com,elcqauk+13@gmail.com,testuk7@gmail.com,elcqauk+12@gmail.com,elcqauk+12@gmail.com,elcqauk+12@gmail.com,elcqauk+12@gmail.com,elcqauk+12@gmail.com
1,RID12,elcqauk+13@gmail.com,elcqauk+13@gmail.com,fggb5beceg@a21fcb.com,elcqauk+13@gmail.com,elcqauk+13@gmail.com,elcqauk+13@gmail.com,elcqauk+13@gmail.com,elcqauk+13@gmail.com,elcqauk+14@gmail.com,elcqauk+13@gmail.com,elcqauk+13@gmail.com,elcqauk+13@gmail.com,elcqauk+13@gmail.com,elcqauk+13@gmail.com,elcqauk+13@gmail.com
1,RID13,elcqauk+14@gmail.com,elcqauk+14@gmail.com,beg22gcdcc@4dcc45db.com,elcqauk+14@gmail.com,elcqauk+14@gmail.com,elcqauk+14@gmail.com,elcqauk+14@gmail.com,elcqauk+14@gmail.com,elcqauk+15@gmail.com,elcqauk+14@gmail.com,elcqauk+14@gmail.com,elcqauk+14@gmail.com,elcqauk+14@gmail.com,elcqauk+14@gmail.com,elcqauk+14@gmail.com
1,RID14,elcqauk+15@gmail.com,elcqauk+15@gmail.com,3ddc423cfc@4g551a.com,elcqauk+15@gmail.com,elcqauk+15@gmail.com,elcqauk+15@gmail.com,elcqauk+15@gmail.com,elcqauk+15@gmail.com,elcqauk+16@gmail.com,elcqauk+15@gmail.com,elcqauk+15@gmail.com,elcqauk+15@gmail.com,elcqauk+15@gmail.com,elcqauk+15@gmail.com,elcqauk+15@gmail.com
1,RPWD,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
1,NID,,,,,,,,,,,,,,,
1,NPWD,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
1,YEAR,,,2022,2022,,2022,2022,,2022,,2022,2022,,,2022
1,RFIRSTNAME,,,,,,,,Test1,,Test1,,,,,
1,CARDTYPE,Visa,Visa,Visa,Visa,,Visa,Visa,,Visa,,,Visa,,,Visa
1,MONTHYEAR,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,SelectQTY,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,VALIDOFFERCODE,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,acb4you,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discountt,test_global_percent_discount
1,INVALIDOFFERCODE,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt
1,VALIDOFFERMSG,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,Offer code acb4you has been successfully applied.,THE DISCOUNT HAS BEEN APPLIED,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.
1,INVALIDOFFERMSG,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,The offer code test_global_percent_discountt is not valid.,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt
1,REMOVEPRODUCT,aveda men pure-formance,Soothing Cleansing Oil,Angel's Share,Bb.Bond-Building Repair Conditioner,Dramatically Different™ Hydrating Jelly Anti-Pollution,The Revitalizing Oil,Cicapair Tiger Grass Colour Correcting Treatment,Advanced Night Repair Serum,Eau Magnolia,Silk Blossom,Crème de la Mer,Power Pore Anti-Shine & Pore Treatment,Studio Moisture Cream,Refreshing eye cream to brighten and depuff,Photo Finish Vitamin Glow Primer
1,SIGNOUTASSERT,You have been signed out.,You have been signed out.,You have been signed out.,You have been signed out.,You have been signed out.,,You have been signed out.,You have been signed out.,You have been signed out.,You have been signed out.,You have been signed out.,You have been signed out.,Don't have an account yet?,You have been signed out.,You have been signed out.
1,AlertMessageInPopup,,,,,Confirm,,,Are you,,,,Are you,Are you,,
1,ORDERMESSAGE,Your confirmation number,Your order number,Your confirmation number,Your confirmation number,Your order number,Your order number,Your confirmation number,Your confirmation number,Your confirmation number,Your confirmation number,Your confirmation number,Your confirmation number,Order Number,Your confirmation number,Your confirmation number
1,CHECKOUTCONFIRMURL,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl
1,ACCOUNTCONFIRMURL,/account/index.tmpl,/account/signin.tmpl,/account/index.tmpl,/account/index.tmpl,/account/index.tmpl,/checkout/confirm.tmpl,/account/index.tmpl,/account/index.tmpl,/account/index.tmpl,/account/index.tmpl,/account/index.tmpl,/account/index.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/account/index.tmpl
1,CARTEMPTYMSG,There are currently no items in your shopping bag.,Please add a product to your shopping bag in order to checkout.,There are currently no items in your shopping bag.,Your shopping bag does not contain priced items.,Please add a product to your shopping bag in order to checkout.,Please add a product to your shopping bag in order to checkout.,You have not added any items to your shopping bag,Please add a product to your shopping bag in order to checkout.,There are currently no items in your shopping bag.,You have not added any items to your shopping bag,Please add a product to your shopping bag in order to checkout.,Please add a product to your shopping bag in order to checkout.,Please add a product to your shopping cart in order to checkout.,,THERE ARE CURRENTLY NO ITEMS IN YOUR SHOPPING BAG.
1,CARTEMPTYMSGMOB,,,,,,,,,,,,,,,
1,ENTEROTP,,1234,1234,,,1234,,,,,,1234,,1234,1234
1,skuId1,SKU70917,SKU175707,SKU125687,SKU44578,SKU65550,SKU59030,SKU126952,SKU133083,SKU82570,SKU168715,SKU60983,SKU175599,SKU53388,SKU107001,SKU173871
1,skuId2,SKU34424,SKU175719,SKU140728,SKU73653,SKU19483,SKU41327,SKU126949,SKU133086,SKU142149,SKU64592,SKU26767,SKU136931,SKU53960,SKU152252,SKU156876
1,skuId3,SKU61310,SKU175709,SKU158947,SKU168803,SKU31726,SKU65472,SKU126952,SKU133091,SKU86664,SKU107123,SKU117869,SKU136711,SKU75891,SKU95502,SKU171818
1,skuId4,SKU70912,SKU175714,SKU98215,SKU74248,SKU31798,SKU106713,SKU126948,SKU133092,SKU177263,SKU160206,SKU117870,SKU136707,SKU155101,SKU79139,SKU112693
1,skuId5,SKU54428,SKU175708,SKU98229,SKU74250,SKU153558,SKU62181,SKU126947,SKU114795,SKU86698,SKU157885,SKU117874,SKU136931,SKU61210,SKU79140,SKU153075
1,skuId6,SKU78666,SKU18986,SKU104554,SKU218,SKU43065,SKU59030,SKU126952,SKU133083,SKU82570,SKU135265,SKU60983,SKU136714,SKU10772,SKU130992,SKU156938
1,skuId7,SKU34359,SKU88668,SKU158700,SKU51461,SKU150243,SKU41327,SKU126949,SKU133086,SKU142149,SKU150112,SKU26767,SKU136717,SKU60148,SKU72003,SKU117788
1,skuId8,SKU110151,SKU156515,SKU153930,SKU86408,SKU95656,SKU65472,SKU126952,SKU133091,SKU86664,SKU150109,SKU117869,SKU136715,SKU118970,SKU36934,SKU148625
1,skuId9,SKU110152,SKU119241,SKU158729,SKU86410,SKU135941,SKU106713,SKU126948,SKU133092,SKU177263,SKU160206,SKU117870,SKU136717,SKU151332,SKU98644,SKU163972
1,skuId10,SKU110153,SKU132494,SKU115015,SKU65389,SKU130763,SKU62181,SKU126947,SKU114795,SKU86698,SKU157885,SKU117874,SKU136714,SKU75884,SKU72003,SKU153566
1,QTYLimit,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1,cookievalue,,,,,,,,,,,,,,,
1,toPlaceOrder,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1,CartLimittxt,There is a limit of 14 items per order,There is a limit of 14 items per order,There is a limit of 14 items per order,There is a limit of 14 items per order,There is a limit of 14 items per order,There is a limit of 14 items per order,There is a limit of 14 items per order,There is a limit of 14 items per order,There is a limit of 14 items per order,There is a limit of 14 items per order,There is a limit of 14 items per order,There is a limit of 14 items per order,There is a limit of 14 items per order,There is a limit of 14 items per order,There is a limit of 14 items per order
1,newUserPassword,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
1,returnUserPassword,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
