tt,BrandLocale,AV-US,AV-CA,BB-US,BB-CA,BK-US,BU-CA,BU-US,CL-US,DA-CA,DA-US,EL-US,EL-CA,JM-US,JM-CA,LM-US,LM-CA,MC-US,MC-CA,SB-CA,SB-US,OR-US,OR-CA,LS-US,FM-US,GG-US,TF-US,DJ-US,CL-CA,TFB-US
1,RID7,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,elcqana+07@test.com,
1,RID8,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,elcqana+08@test.com,
1,RID9,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,elcqana+09@test.com,
1,RID10,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,elcqana+10@test.com,
1,RID11,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,elcqana+11@test.com,
1,RID12,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,elcqana+12@test.com,
1,RID13,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,elcqana+13@test.com,
1,RID14,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,elcqana+14@test.com,
1,RID15,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,elcqana+15@test.com,
1,SCRID,testruid@test.com,test79@test.com,testruid@test.com,test79@test.com,testruid@test.com,test79@test.com,testruid@test.com,testruid@test.com,test79@test.com,testruid@test.com,testruid@test.com,test79@test.com,testruid@test.com,test79@test.com,testruid@test.com,test79@test.com,testruid@test.com,test79@test.com,test79@test.com,testruid@test.com,testruid@test.com,test79@test.com,testruid@test.com,testruid@test.com,testruid@test.com,testruid@test.com,testruid@test.com,test79@test.com,
1,SCRID1,testruid1@test.com,test13@test.com,testruid4@test.com,test13@test.com,testruid1@test.com,test13@test.com,testruid1@test.com,testruid3@test.com,test13@test.com,testruid1@test.com,testruid3@test.com,test13@test.com,testruid3@test.com,test13@test.com,testruid3@test.com,test13@test.com,testruid3@test.com,test13@test.com,test13@test.com,testruid1@test.com,testruid1@test.com,test13@test.com,testruid1@test.com,testruid1@test.com,testruid1@test.com,testruid1@test.com,testruid1@test.com,test34@test.com,
1,SCRID2,testruid2@test.com,test07@test.com,testruid2@test.com,test07@test.com,testruid2@test.com,test07@test.com,testruid2@test.com,testruid4@test.com,test07@test.com,testruid2@test.com,testruid4@test.com,test07@test.com,testruid4@test.com,test07@test.com,testruid4@test.com,test07@test.com,testruid4@test.com,test07@test.com,test07@test.com,testruid2@test.com,testruid2@test.com,test07@test.com,testruid2@test.com,testruid2@test.com,testruid2@test.com,testruid2@test.com,testruid2@test.com,test07@test.com,
1,RPWD,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,
1,NPWD,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,
1,Password,,Test@123,Test@123,,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,,Test@123,,Test@123,,,Test@123,Test@123,,Test@123,Test@123,Test@123,Test@123,Test@123,,
1,Paypalpassword,Test@123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FIRSTNAME,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT
1,LASTNAME,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP
1,ADDRESS1,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.
1,ADDRESS2,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,130 Bloor Street West,130 Bloor Street West,40 w 23rd Street,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street
1,ZIPCODE,80202,M5S 1N5,80202,M5S 1N5,80202,M5S 1N5,80202,80202,M5S 1N5,80202,80202,M5S 1N5,80202,M5S 1N5,80202,M5S 1N5,80202,M5S 1N5,M5S 1N5,80202,80202,M5S 1N5,80202,80202,80202,80202,80202,M5S 1N5,80202
1,STATE,,Ontario,,Ontario,,Ontario,,,Ontario,,,Ontario,,Ontario,,Ontario,,Ontario,Ontario,Colorado,,Ontario,,,,,,Ontario,Colorado
1,CITY,Denver,Toronto,,Toronto,,Toronto,,Denver,Toronto,,Denver,Toronto,,Toronto,,Toronto,Denver,Toronto,Toronto,Denver,,Toronto,,,,,,Toronto,Denver
1,MSTATE,,Ontario,,ON,,Ontario,,,Ontario,,,Ontario,,Ontario,,Ontario,,Ontario,ON,,,ON,,,,,,Ontario,CO
1,CREDITCARD,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,4111 1111 1111 1111,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444
1,CVV,737,737,737,737,737,737,737,737,737,737,737,737,737,111,737,737,737,737,111,111,737,737,737,737,737,737,737,737,737
1,CCMONTH,,,2,2,,,,,,,January,January,3,3,3,3,,,2,2,3,3,3,,,,,2,
1,YEAR,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2026,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027
1,PCCVVMONTH,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,NEWZIPCODE,,,,,,,,,,,,,,,,,10010,M5S 1N5,,,,,,,,,,,
1,OFFERCODENUMBER,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount
1,QNTY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,INVALIDOFFERCODE,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt
1,VALIDOFFERMSG,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied,The discount has been applied.,The discount has been applied.,THE DISCOUNT HAS BEEN APPLIED.,THE DISCOUNT HAS BEEN APPLIED.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.,The discount has been applied.
1,REMOVEPRODUCT,ritual of rich repair,botanical kinetics,Long-Wear Cream Shadow Stick,Vitamin Enriched Face Base,,,,,,,,,,,,,,,,,,,,,,,,,
1,INVALIDOFFERMSG,"Invalid offer code, please try again.","Invalid offer code, please try again.",test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,Oops! This offer code is either expired or invalid.,Oops! This offer code is either expired or invalid.,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,,test_global_percent_discountt,test_global_percent_discountt
1,ORDERMESSAGE,Order Number,Your confirmation number,Your confirmation number,Your order number,Your order number,Your order number,Your confirmation number,Your confirmation number,Your confirmation number,Your confirmation number,Your order number,Your confirmation number,Your confirmation number,Your confirmation number,Your confirmation number,Your confirmation number,,,,,,,,,,,,Your confirmation number,
1,ACStateVal,,ON,,ON,,ON,,ON,,ON,ON,,ON,,ON,,ON,,,ON,ON,,ON,,,ON,,ON,ON
1,CCNAME,VISA,VISA,,,VISA,VISA,VISA,VISA,VISA,VISA,VISA,,VISA,,VISA,VISA,VISA,VISA,,,VISA,,,VISA,VISA,VISA,VISA,VISA,VISA
1,MSTATE1,,ON,NY,,NY,ON,NY,NY,ON,NY,NY,ON,NY,,NY,,NY,,,NY,NY,,NY,NY,NY,NY,NY,,NY
1,ACCREDITCARD,2222 4000 3000 0004,2222 4000 1000 0008,5555 5555 5555 4444,5555 5555 5555 4444,4151 5000 0000 0008,5555 5555 5555 4444,2222 4000 3000 0004,5555 5555 5555 4444,2222 4000 1000 0008,2222 4000 3000 0004,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5.56E+15,5.56E+15,5555 5555 5555 4444,5555 5555 5555 4444,4111 1111 1111 1111,5555 5555 5555 4444,4151 5000 0000 0008,55555 55555 55555 7,55555 55555 55555 7,2222 4000 3000 0004,4111 1111 1111 1111,5555 5555 5555 4444,5555 5555 5555 4444,5.56E+15,5555 5555 5555 4444
1,ACCVV,737,737,737,737,737,737,737,737,737,737,737,737,737,111,737,737,737,737,111,111,737,737,737,737,737,737,737,737,737
1,ACCCMONTH,,,2,2,,,,3,,,January,January,January,January,3,3,,,2,2,3,3,3,,,3,,3,3
1,ACYEAR,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2026,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027
1,ACPCCVVMONTH,330,330,330,330,330,330,330,330,330,330,330,330,,,,,330,330,,,330,330,,330,330,30,330,2027,30
1,PHONE,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960
1,CARDTYPE,,,MasterCard,MasterCard,,,,,,,,,,,,,,,,,,,,,,,,,
1,Title,,,,,,,,,,,,,,,,,,,,,,,,Ms.,,,,,
1,ACZIPCODE,10010,M5S 1N5,10010,M5S 1N5,10010,M5S 1N5,10010,10010,M5S 1N5,10010,10010,M5S 1N5,10010,M5S 1N5,10010,M5S 1N5,10010,M5S 1N5,M5S 1N5,10010,10010,M5S 1N5,10010,10010,10010,10010,10010,M5S 1N5,10010
1,ACSTATE,New York,Ontario,New York,Ontario,New York,Ontario,New York,New York,Ontario,New York,New York,Ontario,New York,Ontario,New York,Ontario,New York,Ontario,Ontario,New York,New York,Ontario,New York,New York,New York,New York,New York,Ontario,New York
1,ACCITY,New York,Toronto,New York,Toronto,New York,Toronto,New York,New York,Toronto,New York,New York,Toronto,New York,Toronto,New York,Toronto,New York,Toronto,Toronto,New York,New York,Toronto,New York,New York,New York,New York,New York,Toronto,New York
1,ACMSTATE,New York,Ontario,NY,ON,NY,Ontario,NY,NY,Ontario,New York,New York,Ontario,New York,Ontario,New York,Ontario,NY,Ontario,ON,NY,NY,ON,New York,New York,NY,NY,NY,Ontario,NY
1,paymentPageUrl,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment,**/payment
1,toPlaceOrder,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
