tt,BrandLocale,AV-DE,AV-EU,AV-FR,BB-DE,BB-ES,BB-FR,BB-GR,BB-IL,BB-TR,BK-FR,CL-DE,CL-ES,CL-FI,CL-FR,CL-GR,CL-IL,CL-TR,CL-IT,DA-IT,EL-BE,EL-DE,EL-ES,EL-FR,EL-GR,EL-IL,EL-TR,JM-EU,JM-FR,JM-ME,LM-DE,LM-EU,MC-AT,MC-BE,MC-DE,MC-ES,MC-FR,MC-GR,MC-HU,MC-IL,MC-IN,MC-KSA,MC-PL,MC-RO,MC-TR,OR-EU,SB-EU,TF-DE
1,CREDITCARDNUMBERREG,5555 5555 5555 4444,5555 5555 5555 4444,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,,4603 4500 0000 0000,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,,,4.60E+15,,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4.11E+15,4111 1111 1111 1111,4111 1111 1111 1111,,4603 4500 0000 0000,4111 1111 1111 1111,4111 1111 1111 1111,,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,,,,,,4111 1111 1111 1111,,4.60E+15,4111 1111 1111 1111,4111 1111 1111 1111,5555 5555 5555 4444
1,RPWDREG,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123Test@123Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
1,ADDRESS1REG,Kirchgasse,Rue des Tanneurs,5 rue de l5,Kirchgasse,Kirchgasse 42-44,5 rue de l5,Agiou Athanasiou 60,,ADANA,5 rue de l5,Kirchgasse 42-44,DONTBILL,Kauhajärventie ,5 rue de l5,Agiou Athanasiou 60,,,,Milan,Machelsesteenweg 78,5 rue de l5,aaa,5 rue de l5,5 rue de l5,,ADANA,Rua Leite Vasconcelos,5 rue de l,,Kirchgasse 42-44,Torenstraat,5 rue de l5,Machelsesteenweg 78,Kirchgasse 42-44,Cruce Casa de Postas,5 rue de l5,OMONIA SQUARE 4,Machelsesteenweg,,,,Kirchgasse 42-44,Villanueva Street,,,Kirchgasse,Kirchgasse 42-44
1,ADDRESS2REG,33,92,la Marne- Level 5,42-44,22,la Marne- Level 5,la Marne- Level 5,,ALADAĞ,la Marne- Level 5,22,Ourense,35,la Marne- Level 5,,,,,VIALE SABATINI CAMILLO 130,Rue Jean Lorette,la Marne- Level 5,bbb,la Marne- Level 5,la Marne- Level 5,,ALADAĞ,77,la Marne- Level 5,22,22,185,la Marne- Level 5,22,22,55,la Marne- Level 5,22,23,,,,5,24,,Test,33,22
1,PHONEREG,4961130372,0490 39 52799,3322445566,49611303721,711905367,3322445566,6998989898,,5432112345,3322445566,49611303721,617435393,3.59E+11,3322445566,6998989898,,5432112345,,3105367900,4941608013,3322445566,6598743215,3322445566,4941608013,,5432112345,3322808292,3322445566,9876543210,4961130372,06-90130405,9988776655,4941608013,4961130372,711905367,3322445566,6971 214604,3618895501,,,,4961130372,3024434244,5432112345,89786849846,4961130372,49611303721
1,ZIPCODEREG,65623,6692,75003,65623,65623,75003,84400,,22,44000,65623,11160,62200,44000,84400,,20010,,22012,6032,44000,28014,44000,6032,,22,8700,44000,,65623,5241 VG,2700,6032,65623,18311,44000,10431,1111,,,,00-004,613311,,20019,65623,65623
1,STATEREG,,,Paris,,,Paris,,,,,,,,,,,CEYHAN,,,,,ccc,,,,,,,,,,,,,,,,,,,,,,,,,
1,CITYREG,Wiesbaden,Petit-Thier,Nantes,Wiesbaden,Wiesbaden,Nantes,Nantes,,ADANA,Nantes,Wiesbaden,Reus,Kauhava,Nantes,Attica,,,,ITALY,Mont-sur-Marchienne,Nantes,Madrid,Nantes,België,,ADANA,Faro,Nantes,Abu Dhabi,Wiesbaden,Rosmalen,Nantes,Mont-sur-Marchienne,Wiesbaden,Cruce Casa de Postas,Nantes,ATHENS,Budapest,,,,Warsaw,Bucharest,,Italy,Wiesbaden,Wiesbaden
1,ADDRESS3REG,,4,State,,Wiesbaden,State,25,,AKÖREN MAHALLESİ,44,,22,,44,,,112A,,22,22,44,11,44,44,,AKÖREN MAHALLESİ,,44,Al Bateen,,,44,,,,44,,,,,,,,,12,,
1,ADDRESS4REG,,,,,ALMERIA,,marne,,AKDERE SOKAK,,,,,,,,33,,,,la Marne- Level 5,22,,,,AKDERE SOKAK,,,,,,versand,22,,55,,,,,,,,,33,,,
1,SELECTCOUNTRYIDREG,,,,,,,,,1,,,,,,ΕΛΛΑΔΑ,,,,AG,,Nantes,Albacete,,,,1,,,,,,,,,,,,,,,,,Bucuresti,,Milan,,
1,CITYDROPDOWNREG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,REGIONDROPDOWNREG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finland,,,,,,,,,,,,,,,,
1,PerOfferName,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount
1,FlatOfferName,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount,test_global_flat_discount
1,NoOfferREG,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1,SelectQTYREG,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,,2,,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,,2,2,2,2,2,2
1,EmulateDevice,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11
1,PercentageDiscount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount,Percentage Discount
1,payPalEmail,cssderrick@gmail.com,cssderrick@gmail.com,cssderrick@gmail.com,cssderrick@gmail.com,,cssderrick@gmail.com,,,,,cssderrick@gmail.com,,,cssderrick@gmail.com,,,,,,cssderrick@gmail.com,cssderrick@gmail.com,,cssderrick@gmail.com,,,,,cssderrick@gmail.com,cssderrick@gmail.com,cssderrick@gmail.com,,cssderrick@gmail.com,cssderrick@gmail.com,cssderrick@gmail.com,,cssderrick@gmail.com,,,,,,cssderrick@gmail.com,,,,cssderrick@gmail.com,
1,payPalPass,Test@123,Test@123,Test@123,Test@123,,Test@123,,,,,Test@123,,,Test@123,,,,,,Test@123,Test@123,,Test@123,,,,,Test@123,Test@123,Test@123,,Test@123,Test@123,Test@123,,Test@123,,,,,,Test@123,,,,Test@123,
1,CARDTYPEREG,,,,,,,,,,,,,,,,,,,,PayPal,,,,,,,,,,,,,,,,,,,,,,,,,,PAYMENT_OPTION_PAYPAL,
