tt,BrandLocale,EL-AU,MC-AU,CL-AU,LM-AU,JM-AU,BB-AU,AV-AU,EL-NZ,MC-NZ,CL-NZ,EL-MY,MC-MY,CL-MY,JM-MY,EL-JP,MC-JP,CL-JP,LM-JP,JM-JP,BB-JP,AV-JP,LS-JP,EL-HK,MC-HK,CL-HK,LM-HK,JM-HK,BB-HK,OR-HK,EL-TH,MC-TH,CL-TH,LM-TH,JM-TH,BB-TH,OR-TH,EL-TW,MC-TW,CL-TW,LM-TW,BB-TW,OR-TW,JM-TW,EL-KR,MC-KR,CL-KR,JM-KR,BB-KR,AV-KR,LS-KR,LM-KR,DJ-KR,EL-CN,MC-CN,LM-CN,CL-CN,BB-CN,JM-CN,LS-CN,OR-CN,JM-SG,EL-SG,JM-PH
1,sppPage1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/product/571/100364/product-catalog/luxury-fragrance-collection,,/product/9090/121162/the-new-lifting-firming-serum,,/product/17129/92962/intensive-skin-serum-radiance-primer-spf-20-pa,,,,,,
1,sppPage2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/product/571/100364/product-catalog/luxury-fragrance-collection,,/product/9090/43795/the-revitalizing-hydrating-serum/hydrating-face-serum,,/product/2342/106434/luxe-lipstick/fh22,,,,,,
1,sppPage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/product/571/100364/product-catalog/luxury-fragrance-collection,,/product/20657/36221/the-renewal-oil,,/product/14006/7485/vitamin-enriched-face-base,,,,,,
1,sppPage4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/product/27429/111195/product-catalog/gifting/supreme,,/product/20653/30929/exfoliators-and-masks/the-intensive-revitalizing-mask/anti-pollution-face-mask,,/product/2327/35645/perfectly-defined-long-wear-brow-pencil,,,,,,
1,sppPage5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/product/27429/111191/product-catalog/gifting/micro-essence,,/product/5834/104371/the-new-moisturizing-soft-cream,,/product/14006/93885/extra-repair-moisture-cream-intense/fh21,,,,,,
1,regName,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP
1,firstName,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT SHIP,DO NOT,DO NOT,DO NOT,DO NOT SHIP,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT
1,firstNameKata,,,,,,,,,,,,,,,テストメイ,テストメイ,テストメイ,テストメイ,テストメイ,テストメイ,テストメイ,テストメイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lastName,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP
1,lastNameKata,,,,,,,,,,,,,,,テストセイ,テストセイ,テストセイ,テストセイ,テストセイ,テストセイ,テストセイ,テストセイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,address,BRADLEY STREET,Bradley Street,BRADLEYSTREET,BRADLEYSTREET,BRADLEY STREET,BRADLEY STREET,BRADLEY STREET,AUCKLAND,1AucklandRoad,1AucklandRoad,JALAN TAMAN BANDAR HILIR,JALAN TAMAN BANDAR HILIR,JALAN TAMAN BANDAR HILIR,JALAN TAMAN BANDAR HILIR,,,,,,,,,25 Canton Road 33/F,25 Canton Road 33/F,25 Canton Road 33/F,25 Canton Road 33/F,25 Canton Road 33/F,25 Canton Road 33/F,25 Canton Road 33/F,Icon Siam Shopping Center,Icon Siam Shopping Center,Icon Siam Shopping Center,Icon Siam Shopping Center,Icon Siam Shopping Center,Icon Siam Shopping Center,Icon Siam Shopping Center,Matsuhisa Taipei Road 11,Matsuhisa Taipei Road 11,Matsuhisa Taipei Road 11,Matsuhisa Taipei Road 11,Matsuhisa Taipei Road 11,Matsuhisa Taipei Road 11,Matsuhisa Taipei Road 11,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,Seoul,The Estee Lauder Companies,122 Liuhua Rd,122 Liuhua Rd,122 Liuhua Rd,The Estee Lauder Companies,122 Liuhua Rd,122 Liuhua Rd,122 Liuhua Rd,JALAN BANDAR HILIR,JALAN BANDAR HILIR,Rustans Ayala Center Cebu
1,addressLineTwo,1 BRADLEY ST,1 BRADLEY ST,1 BRADLEY ST,1 BRADLEY ST,1 BRADLEY ST,1 BRADLEY ST,1 BRADLEY ST,,,St Heliers,,,,,,,,,,,,清川,The Gateway Tower 2 Harbour City,The Gateway Tower 2 Harbour City,The Gateway Tower 2 Harbour City,The Gateway Tower 2 Harbour City,The Gateway Tower 2 Harbour City,The Gateway Tower 2 Harbour City,The Gateway Tower 2 Harbour City,,,,,,,,,,,,,,,382 Gangnam-daero,382 Gangnam-daero,382 Gangnam-daero,382 Gangnam-daero,382 Gangnam-daero,382 Gangnam-daero,382 Gangnam-daero,382 Gangnam-daero,382 Gangnam-daero,,,,,,,,,SEA Dalian China,SEA Dalian China,
1,phoneNumber,480009028,480009028,480009028,480009028,480009028,480009028,480009028,093030482,093030482,093030482,01606282712,01606282712,01606282712,606282712,0312341234,0312341234,0312341234,0312341234,0312341234,0312341234,0312341234,0312341234,91552110,91552110,91552110,91552110,91552110,91552110,91552110,02004917108,02004917108,02004917108,02004917108,02004917108,02004917108,02004917108,0973083367,0973083367,0973083367,0973083367,0973083367,0973083367,0973083367,,,,,,,,,,18717777895,18717777895,15821697783,18717777895,18717777895,18717777895,18717777895,18717777895,01606282712,01606282712,78386609
1,phoneNumberStage,480009028,480009028,480009028,480009028,480009028,480009028,480009028,093030482,093030482,093030482,01606282712,01606282712,01606282712,606282712,0312341234,0312341234,0312341234,0312341234,0312341234,0312341234,0312341234,0312341234,91552110,91552110,91552110,91552110,91552110,91552110,91552110,020049171,020049171,02004917108,020049171,020049171,020049171,020049171,0973083367,0973083367,0973083367,0973083367,0973083367,0973083367,0973083367,,,,,,,,,,18717777895,18717777895,15821697783,18717777895,18717777895,18717777895,18717777895,18717777895,01606282712,01606282712,78386609
1,mobileAcc,1800613783,1800613783,1800613783,1800613783,1800613783,1800613783,1800613783,093030482,093030482,093030482,01606282712,01606282712,01606282712,606282712,0312341234,0312341234,0312341234,0312341234,0312341234,0312341234,0312341234,0312341234,91552110,91552110,91552110,91552110,91552110,91552110,91552110,02004917108,02004917108,02004917108,02004917108,02004917108,02004917108,02004917108,0973083367,0973083367,0973083367,0973083367,0973083367,0973083367,0973083367,,,,,,,,,,18717777895,18717777895,15821697783,18717777895,18717777895,18717777895,18717777895,18717777895,01606282712,01606282712,78386609
1,mobileOne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6971,6971,6971,6971,6971,6971,6971,6971,6971,,,,,,,,,,,
1,mobileTwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3203,3203,3203,3203,3203,3203,3203,3203,3203,,,,,,,,,,,
1,zipcode,2835,2835,2835,2835,2835,2835,2835,1010,1010,1071,75000,75000,75000,75000,1110022,1110022,1110022,1110022,1110022,1110022,1110022,1110022,,,,,,,,10600,10600,10600,10600,10600,10600,10600,,,,,,,,06232,,06232,06232,06232,06232,06232,06232,06232,,572000,572000,572000,,572000,572000,572000,750001,750001,6000
1,state,NSW,NSW,NSW,NSW,NSW,NSW,NSW,,,,Melaka,Melaka,Melaka,Johor,,,,,,,,,九龍,九龍,九龍,九龍,九龍,九龍,九龍,Bangkok,Bangkok,Bangkok,Bangkok,Bangkok,Bangkok,Bangkok,臺北市,臺北市,臺北市,臺北市,臺北市,臺北市,臺北市,,,,,,,,,,,青海省,浙江省,青海省,,青海省,青海省,青海省,Melaka,Melaka,Cebu
1,stateAcc,,,,,,,,,,,Kedah,Kedah,Kedah,Kedah,,,,,,,,東京都,九龍,九龍,九龍,九龍,九龍,九龍,九龍,,,,,,,,臺北市,臺北市,臺北市,臺北市,臺北市,臺北市,臺北市,,,,,,,,,,青海省,青海省,//*[@value='浙江省'],青海省,浙江省,青海省,青海省,青海省,,,
1,city,COBAR,COBAR,COBAR,COBAR,COBAR,COBAR,COBAR,AUCKLAND,AUCKLAND,AUCKLAND,Melaka,Melaka,Melaka,Melaka,,,,,,,,台東区,尖沙咀,尖沙咀,尖沙咀,尖沙咀,尖沙咀,尖沙咀,尖沙咀,Khlong San,Khlong San,Khlong San,Khlong San,Khlong San,Khlong San,Khlong San,100 中正區,100 中正區,100 中正區,100 中正區,100 中正區,100 中正區,100 中正區,,,,,,,,,,,西宁市,湖州市,西宁市,,西宁市,西宁市,西宁市,Melaka_City,Melaka_City,Cebu
1,cityAcc,,,,,,,,,,,,,,,,,,,,,,,尖沙咀,尖沙咀,尖沙咀,尖沙咀,尖沙咀,尖沙咀,尖沙咀,,,,,,,,100 中正區,100 中正區,100 中正區,100 中正區,100 中正區,100 中正區,100 中正區,,,,,,,,,,西宁市,西宁市,//*[@value='湖州市'],西宁市,湖州市,西宁市,西宁市,西宁市,,,
1,subDistrict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khlong Ton Sai,Khlong Ton Sai,Khlong Ton Sai,Khlong Ton Sai,Khlong Ton Sai,Khlong Ton Sai,Khlong Ton Sai,,,,,,,,,,,,,,,,,,,,,,,,,,,Cebu
1,district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,城东区,城东区,//*[@value='吴兴区'],城东区,吴兴区,城东区,城东区,城东区,,,
1,street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Icon Siam Shopping Center,Icon Siam Shopping Center,Icon Siam Shopping Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,addressLineFour,Bradley Street,"1 Bradley Street, COBAR NSW 2835","1 Bradley Street, COBAR NSW 2835",1 Bradley Street,Bradley Street,1 Bradley Street,Bradley Street,Auckland Road,"1 Auckland Road, St Heliers","1 Auckland Road, St Heliers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,addressToClick,,"1 Bradley Street, COBAR NSW 2835","1 Bradley Street, COBAR NSW 2835",,,,,,,"1 Auckland Road, St Heliers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ccHolderName,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,testing card,,,,,,,,,,,,,,,,,,,,,,,,,testing card,testing card,testing card
1,creditcard,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4075595716483764,4075595716483764,4075595716483764,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4335900000140045,4335900000140045,4335900000140045,4335900000140045,4335900000140045,4335900000140045,4335900000140045,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,4111111111111111,5430450130000009,5430450130000009,5430450130000009,5430450130000009,5430450130000009,5430450130000009,5430450130000009,,,,,,,,,,,,,,,,,,4111111111111111,4111111111111111,4111111111111111
1,cvv,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,123,123,123,123,123,123,123,123,123,123,123,123,123,123,521,521,521,521,521,521,521,,,,,,,,,,,,,,,,,,737,737,737
1,ccMonth,'03-30,'03-30,'03-30,'03-30,'03-30,'03-30,'03-30,'03-30,'03-30,'03-30,,,,'03-30,'03-30,'03-30,'03-30,'03-30,'03-30,'03-30,'03-30,'03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'03-30,'03-30,'03-30
1,RID,test999@test.com,test888@test.com,test999@test.com,test888@test.com,test888@test.com,test999@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,,test888@test.com,test999@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test999@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,cognizant.mac@gmail.com,ykji0406@naver.com,ykji0406@gmail.com,mzhang@cn.estee.com,mzhang@cn.estee.com,ykji0406@gmail.com,mzhang@cn.estee.com,lmprod_test01@yopmail.com,minjolee@kr.estee.com,15821697783,mcprod@mailinator.com,15821697783,cognizant.mac@gmail.com,15821697783,prodtestjm@test.com,cognizant.mac@gmail.com,cognizant.mac@gmail.com,,,
1,RID1,test2244@test.com,test2244@test.com,test12345@test.com,test123@test.com,test123@test.com,test1234@test.com,test1234@test.com,test2244@test.com,test2244@test.com,test123@test.com,test2244@test.com,test123@test.com,test123@test.com,,test2244@test.com,test2244@test.com,test123@test.com,test2244@test.com,test123@test.com,test999@test.com,test123@test.com,test2244@test.com,test@123test.com,test123@test.com,test2244@test.com,test123@test.com,test2244@test.com,test123@test.com,test123@test.com,test123@test.com,test123@test.com,test123@test.com,test1234@test.com,test123@test.com,test123@test.com,test123@test.com,test2244@test.com,test123@test.com,test2244@test.com,test1234@test.com,test123@test.com,test123@test.com,test2244@test.com,cognizant.mac@gmail.com,ykji0406@naver.com,ykji0406@gmail.com,mzhang@cn.estee.com,mzhang@cn.estee.com,ykji0406@gmail.com,mzhang@cn.estee.com,lmprod_test01@yopmail.com,minjolee@kr.estee.com,15821697783,mcprod@mailinator.com,15821697783,cognizant.mac@gmail.com,15821697783,prodtestjm@test.com,cognizant.mac@gmail.com,cognizant.mac@gmail.com,,,
1,RID2,test1234@test.com,test1234@test.com,test1234@test.com,test2244@test.com,test1234@test.com,test12@test.com,test12@test.com,test1234@test.com,test1234@test.com,test1234@test.com,test1234@test.com,test1234@test.com,test1234@test.com,,test1234@test.com,test@123test.com,test1234@test.com,test1234@test.com,test1234@test.com,test99@test.com,test1234@test.com,test99@test.com,test12345@test.com,test1234@test.com,test1234@test.com,test1234@test.com,test1234@test.com,test1234@test.com,test1234@test.com,test111@test.com,test111@test.com,test111@test.com,test111@test.com,test111@test.com,test111@test.com,test111@test.com,test1234@test.com,test1234@test.com,test1234@test.com,test12@test.com,test1234@test.com,test1234@test.com,test1234@test.com,cognizant.mac@gmail.com,ykji0406@naver.com,ykji0406@gmail.com,mzhang@cn.estee.com,mzhang@cn.estee.com,ykji0406@gmail.com,mzhang@cn.estee.com,lmprod_test01@yopmail.com,minjolee@kr.estee.com,15821697783,mcprod@mailinator.com,15821697783,cognizant.mac@gmail.com,15821697783,prodtestjm@test.com,cognizant.mac@gmail.com,cognizant.mac@gmail.com,,,
1,RID3,test12@test.com,test2255@test.com,test12@test.com,test999@test.com,test12@test.com,test99@test.com,test99@test.com,test2255@test.com,test12@test.com,test12@test.com,test2255@test.com,test12@test.com,test12@test.com,,test12345@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test999@test.com,test12@test.com,test12@test.com,test12345@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test222@test.com,test222@test.com,test222@test.com,test222@test.com,test222@test.com,test222@test.com,test222@test.com,test2255@test.com,test12@test.com,test12@test.com,test99@test.com,test99@test.com,test12@test.com,test2255@test.com,cognizant.mac@gmail.com,ykji0406@naver.com,ykji0406@gmail.com,mzhang@cn.estee.com,mzhang@cn.estee.com,ykji0406@gmail.com,mzhang@cn.estee.com,lmprod_test01@yopmail.com,minjolee@kr.estee.com,15821697783,mcprod@mailinator.com,15821697783,cognizant.mac@gmail.com,15821697783,prodtestjm@test.com,cognizant.mac@gmail.com,cognizant.mac@gmail.com,,,
1,RID4,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test333@test.com,test333@test.com,test333@test.com,test333@test.com,test333@test.com,test333@test.com,test333@test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,test44@44test.com,cognizant.mac@gmail.com,ykji0406@naver.com,ykji0406@gmail.com,mzhang@cn.estee.com,mzhang@cn.estee.com,ykji0406@gmail.com,mzhang@cn.estee.com,lmprod_test01@yopmail.com,minjolee@kr.estee.com,15821697783,mcprod@mailinator.com,15821697783,cognizant.mac@gmail.com,15821697783,prodtestjm@test.com,cognizant.mac@gmail.com,cognizant.mac@gmail.com,,,
