tt,BrandLocale,AV-DE,AV-EU,AV-FR,AV-IT,AV-TR,BB-AT,BB-CH,BB-DE,BB-ES,BB-FR,BB-GR,BB-IL,BB-IN,BB-IT,BB-NL,BB-RU,BB-TR,BB-ZA,BK-FR,BK-RU,EB-CZ,CL-AT,CL-BE,CL-CH,CL-CZ,CL-DE,CL-DK,CL-ES,CL-FI,CL-FR,CL-GR,CL-HU,CL-IL,CL-IN,CL-IT,CL-NL,CL-NO,CL-PL,CL-RO,CL-RU,CL-SE,CL-TR,CL-ZA,DA-BE,DA-DE,DA-FR,DA-IT,DA-NL,EL-AT,EL-BE,EL-CH,EL-CZ,EL-DE,EL-DK,EL-ES,EL-FR,EL-GR,EL-HU,EL-IL,EL-IN,EL-IT,EL-NL,EL-NO,EL-PL,EL-RO,EL-RU,EL-SE,EL-TR,EL-ZA,FM-EU,JM-EU,JM-FR,JM-ME,JM-RU,LM-AT,LM-BE,LM-CH,LM-DE,LM-ES,LM-EU,LM-FR,LM-IT,LM-PL,LM-PT,LM-RU,MC-AT,MC-BE,MC-CH,MC-CZ,MC-DE,MC-ES,MC-FR,MC-GR,MC-HU,MC-IL,MC-IN,MC-IT,MC-KSA,MC-NL,MC-NO,MC-PL,MC-RO,MC-RU,MC-TR,MC-UAE,MC-ZA,OR-DE,OR-DK,OR-EU,OR-RU,OR-TR,SB-EU,SB-GR,SB-RU,SB-TR,SB-ZA,TF-DE,TF-FR,DA-ES,AV-GR
1,CITY,Wiesbaden,Petit-Thier,71  avenue du Marechal Juin,,,,,Wiesbaden,Reus,Nantes,Attica,Jerusalem,,,,Москва,22,Dordrecht,paris,,Uhlírské Janovice,Vienna New Town,,,,Wiesbaden,,Reus,Kauhava,Nantes,Attica,,תירוש,,Reus,Nijmegen,FREDRIKSTAD,,,Москва,NORRTÄLJE,22,Dordrecht,Cernobbio,Wiesbaden,Nantes,Cernobbio,Wiesbaden,,Mont-sur-Marchienne,,,Wiesbaden,Kirke Såby,Madrid,Nantes,Athens,,Jerusalem,,Cernobbio,,,Wrocław,,Moscow,,,Limpopo,,Faro,,Al Bateen,,Rosmalen,Rosmalen,Rosmalen,Wiesbaden,Rosmalen,Rosmalen,Nantes,Rosmalen,Rosmalen,Rosmalen,,Vienna New Town,Mont-sur-Marchienne,,,Wiesbaden,Zagra,Nantes,ATHENS,Budapest,Jerusalem,,,Abha,Nijmegen,FREDRIKSTAD,Wiesbaden,Bucharest,Moscow,,,Dordrecht,WÃ–TZLING,,Italy,Санкт-Петербург,,Wiesbaden,ATHENS,,,,WÃ–TZLING,WÃ–TZLING,Wiesbaden,Attica
1,ADDRESS3,,,,,,,,,,,6998989898,Test123,,,,Kievskaya,,,,,,,,,,,,Ourense 22,,,6998989898,,,,Ourense 22,,91459981,,,,,,,,,,,,,,,,,,Calle de Moreto,3322808292,,,,,Calle de Moreto,,,,,Kievskaya,,,,,,,,,,,,Wiesbaden,,,,,,,,,,,,,Cruce Casa de Postas,,,Machelsesteenweg,,,,,,,,,Kievskaya,,,4558965231,,,12,"ul. Kozlova, 20",,,6971214604,,,,,,,
1,ADDRESS4,,,,,,,,,,,,yehuda,,,,89100094952,742 SOKAK,,,,,,,,,,,DONOT,,,,,,,DONOT,,,,,,,33,,,,,,,,,,,,,de Ybarra,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,postas,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,
1,SELECTCOUNTRYID,,,,,,,,,,,,,,,,,ADANA,Limpopo,28,,,,,,,,,Tarragona,,,,,,,BA,,,,,10,,ADANA,,,,,CO,,,,,,,,Albacete,,Ελλάδα,,,,Agriento,,,,,,,ADANA,Limpopo,,,,Al Bateen,,,,,,,,,,,,,,,,,,Granada,,32,,,,,Abha,,,,Bucuresti,10,ADANA,,Eastern Cape,,,Milan,,,,32,,,,,,,
1,TAB,,,,,,,,Tab,,,Tab,Tab,,,,Tab,,,Tab,,,Tab,,,,,,,,,Tab,,,,,Tab,,,,,,,,,,,,,,,,,Tab,,Tab,,Tab,,Tab,,,,,,,Tab,,,,,,,,,,,,Tab,,,,,,,,,,,,Tab,Tab,,,,Tab,,,,,,,,,,,,Tab,,,,,,,,,,Tab,Tab,,
1,PAYMENTMETHOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visa,,,,,,,,,,,,PAYMENT_OPTION_VISA,PAYMENT_OPTION_PP,,,,,,,,,,,,PAYMENT_OPTION_CC,,,,,,,,
1,CREDITCARDNUMBER,5555 5555 5555 4444,5555 5555 5555 4444,4111 1111 1111 1111,,,,,4111 1111 1111 1111,5555 5555 5555 4444,4111 1111 1111 1111,,5555 5555 5555 4444,,,,4111 1111 1111 1111,4603 4500 0000 0000,4111 1111 1111 1111,4035 5010 0000 0008,,4111 1111 1111 1111,5555 5555 5555 4444,,,,5555 5555 5555 4444,,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,,,5555 5555 5555 4444,,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,,,4111 1111 1111 1111,4111 1111 1111 1111,4603 4500 0000 0000,5555 5555 5555 4444,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,,4111 1111 1111 1111,,,5555 5555 5555 4444,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,,5.33E+15,,4111 1111 1111 1111,,,4111 1111 1111 1111,,4111 1111 1111 1111,,4603 4500 0000 0000,5555 5555 5555 4444,,4111 1111 1111 1111,4111 1111 1111 1111,,,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,,5555 5555 5555 4444,4111 1111 1111 1111,,,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,5.33E+15,4111 1111 1111 1111,,5436 0310 3060 6378,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4603 4500 0000 0000,,5555 5555 5555 4444,5555 5555 5555 4444,,4111 1111 1111 1111,,,4111 1111 1111 1111,4111 1111 1111 1111,,,,4111 1111 1111 1111,5555 5555 5555 4444,4111 1111 1111 1111,
1,CREDITCARDFIRSTEIGHTNUMBERS,5555 5555,5555 5555,4111 1111,,,,,4111 1111,5555 5555,4111 1111,,53261053,,,,4111 1111,4603 4500,4111 1111,4035 5010,,4111 1111,5555 5555,,,,5555 5555,,4111 1111,4111 1111,4111 1111,,,53261053,,4111 1111,4111 1111,4111 1111,,,4111 1111,4111 1111,4603 4500,5555 5555,4111 1111,4111 1111,4111 1111,4111 1111,4111 1111,,4111 1111,,,5555 5555,4111 1111,4111 1111,4111 1111,4111 1111,,5326 1053,,4111 1111,,,4111 1111,,4111 1111,,4603 4500,5555 5555,,4111 1111,4111 1111,,,4111 1111,4111 1111,4111 1111,4111 1111,4111 1111,4111 1111,4111 1111,4111 1111,4111 1111,4111 1111,,5555 5555,4111 1111,,,4111 1111,4111 1111,4111 1111,4111 1111,4111 1111,5326 1053,4111 1111,,,4111 1111,4111 1111,4111 1111,4111 1111,4111 1111,4603 4500,,5555 5555,5555 5555,,4111 1111,,,4111 1111,4111 1111,,,,4111 1111,5555 5555,4111 1111,
1,CREDITCARDLASTEIGHTNUMBERS,11111111,11111111,11111111,,,,,11111111,,11111111,,985606,,,,11111111,0000 0000,11111111,0000 0008,,11111111,5555 4444,,,,5555 4444,,11111111,11111111,11111111,,,985606,,1111 1111,11111111,11111111,,,11111111,11111111,0000 0000,5555 4444,11111111,11111111,11111111,11111111,11111111,,11111111,,,5555 4444,11111111,11111111,11111111,11111111,,0098 5606,,11111111,,,11111111,,11111111,,0000 0000,55554444,,11111111,11111111,,,11111111,11111111,11111111,11111111,11111111,11111111,1111 1111,11111111,11111111,11111111,,5555 4444,11111111,,,11111111,1111 1111,11111111,11111111,11111111,0098 5606,11111111,,,11111111,11111111,11111111,11111111,11111111,0000 0000,,5555 4444,5555 4444,,1111 1111,,,11111111,11111111,,,,11111111,5555 4444,11111111,
1,CVV,123,123,111,,,,,111,123,111,,806,,,,111,111,111,737,,111,123,,,,123,,528,123,111,,,806,,528,111,528,,,111,111,111,111,111,111,111,111,111,,111,,,123,111,111,111,111,,806,,111,,,111,,111,,737,111,,111,737,,,737,737,737,111,737,111,111,737,737,737,,111,111,,,737,111,111,111,111,806,111,,257,111,528,111,111,111,737,,111,123,,111,,,111,111,,,,737,123,111,
1,CARDHOLDERNAME,,,,,,,,,,,,Publienew,,,,KOROVIN NA,ELC TESTER,,Do Not,,Publienew,,,,,Publienew,,KOROVIN NA,testName,,,,Publienew,,KOROVIN NA,,Lea H Hesjedal,,,KOROVIN NA,luttrell,ELC TESTER,Publienew,Publienew,Publienew,Publienew,Publienew,Publienew,,,,,Publienew,Publienew,Tester,,,,Publienew,,Publienew,,,,,KOROVIN NA,,elc test,Publienew,,Publienew,Publienew,,,Publienew,Publienew,Publienew,Publienew,Publienew,Publienew,Test,Publienew,Publienew,Publienew,,Publienew,,,,Publienew,TesterQa,,OMONIA,OMONIA,Publienew,,,,,Lea H Hesjedal,Publienew,OMONIA,KOROVIN NA,elc test,,Publienew,welcome,,Test,,,Publienew,OMONIA,,,,welcome,welcome,Publienew,
1,CCMONTH,12,12,12,,,,,12,12,12,,12,,,,,12,12,,,,12,,,,,,,12,12,,,12,,,12,12,,,,12,12,12,,,,,,,12,,,,12,,12,12,,12,,,,,12,,,,12,12,,,,,,,,,,,,,,,,,12,12,,,,12,12,12,2,12,,,,12,12,12,,,12,,12,12,,12,,,,12,,,,,12,,
1,RID1,emeataiko01@test.com,emeataiko16@test.com,emeataiko01@test.com,,,,,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,,,,emeataiko01@test.com,emeataiko01@test.com,emeataiko101@test.com,emeataiko16@test.com,,emeataiko01@test.com,emeataiko01@test.com,,,,emeataiko01@test.com,,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,,emeataiko01@test.com,,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,,,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko+01@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko+01@test.com,,emeataiko16@test.com,,,emeataiko+01@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,,emeataiko101@test.com,,emeataiko01@test.com,,,emeataiko01@test.com,,emeataiko01@test.com,,emeataiko01@test.com,emeataiko101@test.com,,emeataiko01@test.com,emeataiko101@test.com,emeataiko01@test.com,,emeataiko+01@test.com,emeataiko+01@test.com,emeataiko+01@test.com,emeataiko01@test.com,emeataiko+01@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko+01@test.com,emeataiko+01@test.com,emeataiko+01@test.com,,emeataiko01@test.com,emeataiko101@test.com,,,emeataiko01@test.com,emeataiko+01@test.com,emeataiko31@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,,emeataiko101@test.com,emeataiko01@test.com,emeataiko101@test.com,emeataiko16@test.com,emeataiko101@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,emeataiko01@test.com,,emeataiko01@test.com,emeataiko01@test.com,,emeataiko101@test.com,emeataiko01@test.com,,,,emeataiko01@test.com,emeataiko+01@test.com,emeataiko01@test.com,emeataiko01@test.com
1,RID2,emeataiko02@test.com,emeataiko17@test.com,emeataiko02@test.com,,,,,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,,,,emeataiko02@test.com,emeataiko02@test.com,emeataiko102@test.com,emeataiko17@test.com,,emeataiko02@test.com,emeataiko02@test.com,,,,emeataiko02@test.com,,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,,emeataiko02@test.com,,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,,,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko+02@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko+02@test.com,,emeataiko17@test.com,,,emeataiko+02@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,,emeataiko102@test.com,,emeataiko02@test.com,,,emeataiko02@test.com,,emeataiko02@test.com,,emeataiko02@test.com,emeataiko102@test.com,,emeataiko02@test.com,emeataiko102@test.com,emeataiko02@test.com,,emeataiko+02@test.com,emeataiko+02@test.com,emeataiko+02@test.com,emeataiko02@test.com,emeataiko+02@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko+02@test.com,emeataiko+02@test.com,emeataiko+02@test.com,,emeataiko02@test.com,emeataiko102@test.com,,,emeataiko02@test.com,emeataiko+02@test.com,emeataiko32@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,,emeataiko102@test.com,emeataiko02@test.com,emeataiko102@test.com,emeataiko17@test.com,emeataiko102@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,emeataiko02@test.com,,emeataiko02@test.com,emeataiko02@test.com,,emeataiko102@test.com,emeataiko02@test.com,,,,emeataiko02@test.com,emeataiko+02@test.com,emeataiko02@test.com,emeataiko02@test.com
1,RID3,emeataiko03@test.com,emeataiko18@test.com,emeataiko03@test.com,,,,,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,,,,emeataiko03@test.com,emeataiko03@test.com,emeataiko103@test.com,emeataiko18@test.com,,emeataiko03@test.com,emeataiko03@test.com,,,,emeataiko03@test.com,,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,,emeataiko03@test.com,,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,,,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko+03@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko+03@test.com,,emeataiko18@test.com,,,emeataiko+03@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,,emeataiko103@test.com,,emeataiko03@test.com,,,emeataiko03@test.com,,emeataiko03@test.com,,emeataiko03@test.com,emeataiko103@test.com,,emeataiko03@test.com,emeataiko103@test.com,emeataiko03@test.com,,emeataiko+03@test.com,emeataiko+03@test.com,emeataiko+03@test.com,emeataiko03@test.com,emeataiko+03@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko+03@test.com,emeataiko+03@test.com,emeataiko+03@test.com,,emeataiko03@test.com,emeataiko103@test.com,,,emeataiko03@test.com,emeataiko+03@test.com,emeataiko33@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,,emeataiko103@test.com,emeataiko03@test.com,emeataiko103@test.com,emeataiko18@test.com,emeataiko103@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,emeataiko03@test.com,,emeataiko03@test.com,emeataiko03@test.com,,emeataiko103@test.com,emeataiko03@test.com,,,,emeataiko03@test.com,emeataiko+03@test.com,emeataiko03@test.com,emeataiko03@test.com
1,RID4,emeataiko04@test.com,emeataiko19@test.com,emeataiko04@test.com,,,,,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,,,,emeataiko04@test.com,emeataiko04@test.com,emeataiko104@test.com,emeataiko19@test.com,,emeataiko04@test.com,emeataiko04@test.com,,,,emeataiko04@test.com,,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,,emeataiko04@test.com,,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,,,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko+04@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko+04@test.com,,emeataiko19@test.com,,,emeataiko+04@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,,emeataiko104@test.com,,emeataiko04@test.com,,,emeataiko04@test.com,,emeataiko04@test.com,,emeataiko04@test.com,emeataiko104@test.com,,emeataiko04@test.com,emeataiko104@test.com,emeataiko04@test.com,,emeataiko+04@test.com,emeataiko+04@test.com,emeataiko+04@test.com,emeataiko04@test.com,emeataiko+04@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko+04@test.com,emeataiko+04@test.com,emeataiko+04@test.com,,emeataiko04@test.com,emeataiko104@test.com,,,emeataiko04@test.com,emeataiko+04@test.com,emeataiko34@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,,emeataiko104@test.com,emeataiko04@test.com,emeataiko104@test.com,emeataiko19@test.com,emeataiko104@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,emeataiko04@test.com,,emeataiko04@test.com,emeataiko04@test.com,,emeataiko104@test.com,emeataiko04@test.com,,,,emeataiko04@test.com,emeataiko+04@test.com,emeataiko04@test.com,emeataiko04@test.com
