tt,BrandLocale,BK-US,BU-CA,BU-US,MC-CA,CL-US,DJ-US,MC-US,OR-US,CL-CA,EL-US,EL-CA,AV-US,AV-CA,BB-US,BB-CA,LM-US,LM-CA,JM-US,JM-CA,TF-US
1,RID6,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod20@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com
1,RID7,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod21@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com
1,RID8,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod22@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com
1,RID9,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod25@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod23@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com
1,RID10,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod24@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod24@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com
1,RPWD,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234
1,NPWD,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234
1,PCCVVMONTH,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
1,EFIRSTNAME,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON
1,CaliforniaZIPCODE,90011,,90011,,,,,,,90011,,,,90011,,,,,,
1,VALIDEADDRESS,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.
1,APOZIPCODE,96555,,96555,,96555,96555,96555,96555,,96555,,96555,,96555,,96555,96555,96555,96555,96555
1,CVALIDEADDRESS,"Beyond Love, prohibited",,,,,,,,,,,,,,,,,,,
1,APOVALIDEADDRESS,not be sent to an APO,,not be sent to an APO,,not be sent to an APO,,not be sent to an APO,not be sent to an APO,,not be sent to an APO,,not be sent to an APO,,not be sent to an APO,,not be sent to an APO,not be sent to an APO,not be sent to an APO,not be sent to an APO,not be sent to an APO
1,BILLINGADDRESS1,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr,992 Memorial Dr
1,BILLINGADDRESS2,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605
1,BILLINGPHONE,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,6042835566,6042835566,3477703960,3477703960,3477703960,6042835566,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,6042835566
1,BILLINGZIPCODE,74028,V6B3K9,74028,V6B3K9,74028,74028,78071,78071,V6B3K9,74028,V6B3K9,78071,V6B3K9,74028,V6B3K9,74028,V6B3K9,74028,V6B3K9,78071
1,VALIDOFFERCODE,test_deferred_criteria,spcwelcome15,ubbwelcome15,cs_40,clinical25,birthdaygift,welcome10,welcome15,,,,welcome15,welcome15,kyle15,welcome15,welcome,welcome,welcome10,welcome10,tryit20
1,VALIDOFFERMSG,Thank you. We have saved Offer Code test_deferred_criteria and will apply it before you submit your order. Please look for details upon order review.,HAS BEEN SAVED TO YOUR BAG,HAS BEEN SAVED TO YOUR BAG,Congrats! Enjoy 40% off your order. Some exclusions apply.,SAVED,save,successfully applied,Congratulations!,,,,saved,saved,successfully applied,save,Your offer welcome was successfully applied. Please log into your account to complete checkout.,Your offer welcome was successfully applied. Please log into your account to complete checkout.,Checkout and enter your email address to redeem,Checkout and enter your email address to redeem,successfully
1,BILLINGCITY,,Vancouver,,Vancouver,,,,,Vancouver,,Vancouver,,Vancouver,,Vancouver,,Vancouver,,Vancouver,
1,RegisterPOSTALCODE,,,,V6B3K9,,,78071,,V6B3K9,,V6B3K9,78071,V6B3K9,,V6B3K9,,,,,
1,ANPWD,password,password,password,password,password,password,password,password,password,password,password,password,password,password,password,password,password,password,password,password
1,ACStateVal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON
1,skuId1,SKU115017,SKU128504,SKU86408,SKU55526,SKU14117,SKU126945,SKU5143,SKU136917,SKU121556,SKU48603,SKU43921,SKU82845,SKU122900,SKU18838,SKU17621,SKU102386,SKU119933,SKU63606,SKU106995,SKU94150
1,skuId2,SKU85905,SKU122632,SKU51875,SKU5143,SKU12504,SKU142106,SKU61210,SKU22713,SKU12504,SKU8027,SKU25734,SKU102284,SKU34025,SKU106323,SKU119241,SKU105541,SKU26766,SKU164108,SKU46465,SKU130228
1,skuId3,SKU113354,SKU87228,SKU44578,SKU27403,SKU74855,SKU135387,SKU4914,SKU66598,SKU74855,SKU48595,SKU25735,SKU117278,SKU148450,SKU119880,SKU140110,SKU74855,SKU74855,SKU148417,SKU93212,SKU112369
1,skuId4,SKU145381,SKU55431,SKU68780,SKU4951,SKU74910,SKU140859,SKU3951,SKU84868,SKU74910,SKU48598,SKU25733,SKU112797,SKU4951,SKU114492,SKU140108,SKU74910,SKU74910,SKU148414,SKU86122,SKU141784
1,skuId5,SKU85879,SKU48117,SKU101231,SKU96294,SKU74971,SKU126946,SKU3959,SKU43809,SKU74971,SKU48288,SKU86896,SKU50300,SKU96294,SKU114489,SKU140109,SKU74971,SKU74971,SKU148415,SKU107109,SKU111997
1,AvlStatus,,,,All items Available,,,All items Available,,,,,All items Available,All items Available,,,,,All items Available,,
1,Longitude,,,,-79.392,,,-118.243,,,,,-118.243,-123.036,,,,,-73.935,,
1,Latitude,,,,43.669,,,34.052,,,,,34.052,49.289,,,,,40.731,,
1,Accuracy,,,,20,,,20,,,,,20,20,,,,,20,,
1,FindStore,,,,M5S 1N5,,,90069,,,,,90069,V5K 0A1,,,,,10008,,
1,DS1CARD,4212 3456 7890 1237,4212 3456 7890 1237,4212 3456 7890 1237,,,,,,,,,,,,,,,,,
1,USERNAME,user,user,user,,,,,,,,,,,,,,,,,
1,PASSWORD,password,password,password,,,,,,,,,,,,,,,,,
1,CHECKOUTCONFIRMURL,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl
1,scrollDownValue,,,,200,,,200,,,,,200,200,,,,,200,,
