tt,BrandLocale,BB-TR,BK-FR,CL-FI,CL-TR,DA-BE,DA-DE,DA-FR,DA-NL,EL-TR,EL-ZA,LM-AT,LM-BE,LM-CH,LM-ES,LM-IT,LM-PL,LM-PT,MC-DE,MC-TR,TF-FR
1,RCOBILLINGZIPCODE,,74028,62200,,2819,10115,74028,1082 MD,,9301,5241,5241,5241,52413,52413,52412,3030-222,10115,,74028
1,RCOBILLINGCITY,ADANA,Paris,Kauhava,ADANA,Cernobbio,Berlin,Paris,Cernobbio,ADANA,Eastern Cape,Rosmalen,Rosmalen,Rosmalen,Rosmalen,Rosmalen,Rosmalen,Rosmalen,Berlin,ADANA,Paris
1,RCOBILLINGDISTRICT,CEYHAN,,,CEYHAN,,,,,CEYHAN,,,,,,,,,,CEYHAN,
1,RCOBILLINGNEIGHBOURHOOD,ADAPINAR MAHALLESİ,,,ADAPINAR MAHALLESİ,,,,,ADAPINAR MAHALLESİ,,,,,,,,,AÇMA KÖYÜ KÖYÜN KENDİSİ,ADAPINAR MAHALLESİ,
1,RCOBILLINGAVENUE,8400 SOKAK,,,8400 SOKAK,,,,,8400 SOKAK,,,,,,,,,Kirchgasse 42-44,8400 SOKAK,
1,RCOBILLINGBUILDINGNO,9,,,9,,,,,9,,9,9,9,9,9,9,9,9,9,
1,RCOCVV,123,737,123,123,737,111,737,737,123,,737,737,737,737,737,737,737,111,123,737
1,RCORID,rcotestprod14@yopmail.com,rcotestprod24@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod31@yopmail.com,rcotestprod31@yopmail.com,rcotestprod30@yopmail.com,rcotestprod31@yopmail.com,rcotestprod31@yopmail.com,rcotestprod31@yopmail.com,rcotestprod501@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod24@yopmail.com
1,RCORID1,rcotestprod15@yopmail.com,rcotestprod25@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod31@yopmail.com,rcotestprod31@yopmail.com,rcotestprod31@yopmail.com,rcotestprod31@yopmail.com,rcotestprod31@yopmail.com,rcotestprod31@yopmail.com,rcotestprod502@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod25@yopmail.com
1,RCORID2,rcotestprod16@yopmail.com,rcotestprod26@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod32@yopmail.com,rcotestprod32@yopmail.com,rcotestprod32@yopmail.com,rcotestprod32@yopmail.com,rcotestprod32@yopmail.com,rcotestprod32@yopmail.com,rcotestprod503@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod26@yopmail.com
1,RCORID3,rcotestprod17@yopmail.com,rcotestprod27@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod36@yopmail.com,rcotestprod36@yopmail.com,rcotestprod30@yopmail.com,rcotestprod36@yopmail.com,rcotestprod36@yopmail.com,rcotestprod36@yopmail.com,rcotestprod505@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod27@yopmail.com
1,RCORID4,rcotestprod18@yopmail.com,rcotestprod28@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod37@yopmail.com,rcotestprod37@yopmail.com,rcotestprod31@yopmail.com,rcotestprod37@yopmail.com,rcotestprod37@yopmail.com,rcotestprod37@yopmail.com,rcotestprod506@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod28@yopmail.com
1,RCORID5,rcotestprod19@yopmail.com,rcotestprod29@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod38@yopmail.com,rcotestprod38@yopmail.com,rcotestprod32@yopmail.com,rcotestprod38@yopmail.com,rcotestprod38@yopmail.com,rcotestprod38@yopmail.com,rcotestprod37@yopmail.com,rcotestprod19@yopmail.com,rcotestprod19@yopmail.com,rcotestprod29@yopmail.com
1,SCRCORID,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod33@yopmail.com,rcotestprod33@yopmail.com,rcotestprod33@yopmail.com,rcotestprod33@yopmail.com,rcotestprod33@yopmail.com,rcotestprod33@yopmail.com,rcotestprod504@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com,rcotestprod20@yopmail.com
1,SCRCORID1,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod40@yopmail.com,rcotestprod40@yopmail.com,rcotestprod33@yopmail.com,rcotestprod40@yopmail.com,rcotestprod40@yopmail.com,rcotestprod40@yopmail.com,rcotestprod507@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com,rcotestprod21@yopmail.com
1,SCRCORID2,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod41@yopmail.com,rcotestprod41@yopmail.com,rcotestprod33@yopmail.com,rcotestprod41@yopmail.com,rcotestprod41@yopmail.com,rcotestprod41@yopmail.com,rcotestprod508@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com,rcotestprod22@yopmail.com
1,SCRCORID3,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod30@yopmail.com,rcotestprod30@yopmail.com,rcotestprod33@yopmail.com,rcotestprod30@yopmail.com,rcotestprod30@yopmail.com,rcotestprod30@yopmail.com,rcotestprod508@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com,rcotestprod23@yopmail.com
1,RCORPWD,Test@1234,Test@1234,Test@1234,Test@1234,Test@123,Test@123,Test@123,Test@123,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@12345,Test@1234,Test@1234,Test@1234
