tt,BrandLocale,EL-JP,MC-JP,CL-JP,LM-JP,JM-JP,BB-JP,AV-JP,LS-JP
1,CCYEAR,,,,,,,,
1,PAYMENTMETHOD,,,,,,,,
1,CCM,,,,,,2,2,2
1,CCY,,,,,,9,9,9
1,CCBANK,,,,,,,,
1,OTP,,,,,,,,
1,SECURITYANSWER,,,Tokyo,,Tokyo,Tokyo,,
1,CPASSWORD,,,,,,,,
1,BIRTHYEAR,1994,1994,1994,1994,1994,1994,1994,1994
1,BIRTHMONTH,4,4,4,4,4,4,4,4
1,BIRTHDAY,1,1,1,1,1,1,1,1
1,SIGNOUTASSERTTXT,ログアウトしました。,ログアウトしました。,ログアウトしました。,一定時間操作が行われなかったためログアウトしました。もう一度サインインしてください。,ログアウトしました。,ログアウトしました。,ログアウトしました。,ログアウトしました。
1,ORDERMESSAGE,お客さまの注文番号 ,お客さまの注文番号 ,お客様の注文番号,お客さまの注文番号 ,お客さまの注文番号 ,お客さまの注文番号 ,お客さまの注文番号 ,お客さまの注文番号 
1,ORDERMESSAGE1,,,,,,,,
1,ORDERCONFIRMURL,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl
1,SelectQTY,2,2,2,2,2,2,2,2
1,OFFERID,test_global_percent_discount,test_global_flat_discount,test_global_percent_discount,test_global_flat_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount
1,INVALIDOFFERID,ttest_global_percent_discountt,ttest_global_percent_discountt,ttest_global_percent_discountt,ttest_global_percent_discountt,ttest_global_percent_discountt,ttest_global_percent_discountt,ttest_global_percent_discountt,ttest_global_percent_discountt
1,CHECKOUTINDEXURL,checkout/index.tmpl,checkout/index.tmpl,checkout/index.tmpl,checkout/index.tmpl,checkout/index.tmpl,checkout/index.tmpl,checkout/index.tmpl,checkout/index.tmpl
1,QTYLimit,8,8,8,8,8,8,8,8
1,MAXQTY,9,9,9,9,9,9,9,9
1,CRID,taikojpcod1@test.com,taikojpcod1@test.com,taikojpcod1@test.com,taikojpcod1@test.com,taikojpcod1@test.com,taikojpcod1@test.com,taikojpcod1@test.com,taikojpcod1@test.com
1,CRID1,taikojpcod2@test.com,taikojpcod2@test.com,taikojpcod2@test.com,taikojpcod2@test.com,taikojpcod2@test.com,taikojpcod2@test.com,taikojpcod2@test.com,taikojpcod2@test.com
1,CRID2,taikojpcod3@test.com,taikojpcod3@test.com,taikojpcod3@test.com,taikojpcod3@test.com,taikojpcod3@test.com,taikojpcod3@test.com,taikojpcod3@test.com,taikojpcod3@test.com
1,DS1CARD,5212 3456 7890 1234,5212 3456 7890 1234,5212 3456 7890 1234,5212 3456 7890 1234,5212 3456 7890 1234,5212 3456 7890 1234,5212 3456 7890 1234,5212 3456 7890 1234
1,DS2CARD,3714 4963 5398 431,3714 4963 5398 431,3714 4963 5398 431,3714 4963 5398 431,3714 4963 5398 431,3714 4963 5398 431,3714 4963 5398 431,3714 4963 5398 431
1,USERNAME,user,user,user,user,user,user,user,user
1,PASSWORD,password,password,password,password,password,password,password,password
1,JCBCARD,3569 9900 1009 5841,3569 9900 1009 5841,3569 9900 1009 5841,3569 9900 1009 5841,3569 9900 1009 5841,3569 9900 1009 5841,3569 9900 1009 5841,3569 9900 1009 5841
1,CVV1,7373,7373,7373,7373,7373,7373,7373,7373
1,FindStore,Tokyo,Tokyo,Tokyo,Tokyo,Tokyo,Tokyo,Tokyo,Tokyo
1,VALIDOFFERCODE,lined56,and0820,gw20,test_disc3,hbd,isfr22,lineid,owabi
1,VALIDOFFERMSG,が適用されました。,が適用されました。,が適用されました。,が適用されました。,が適用されました。,が適用されました。,が適用されました。,が適用されました。
1,BILLINGZIPCODE,1110022,1110022,1110022,1110022,1110022,1110022,1110022,1110022
1,EFIRSTNAME,DONOTSHIP,DONOTSHIP,DONOTSHIP,DONOTSHIP,DONOTSHIP,DONOTSHIP,DONOTSHIP,DONOTSHIP
1,VALIDEADDRESS,東京都 台東区,東京都 台東区,東京都 台東区,東京都 台東区,東京都 台東区,東京都,東京都 台東区,東京都
1,BILLINGPHONE,0312341234,0312341234,0312341234,0312341234,0312341234,0312341234,0312341234,0312341234
1,STOREVALIDADDRESS,東京都江東区東雲２‐１３‐３２,東京都江東区東雲２‐１３‐３２,東京都江東区東雲２‐１３‐３２,東京都江東区東雲２‐１３‐３２,東京都江東区東雲２‐１３‐３２,東京都江東区東雲２‐１３‐３２,東京都江東区東雲２‐１３‐３２,東京都江東区東雲２‐１３‐３２
1,BILLINGCITY,,,,,,,,
1,BILLINGADDRESS1,,,,,,,,
1,BILLINGADDRESS2,,,,,,,,
