tt,BrandLocale,AV-US,BB-US,BU-US,CL-US,EL-US,EL-CA,LM-US,MC-US,MC-CA,SB-US,OR-US,CL-CA,AV-CA
1,skuId1,SKU110189,SKU176721,SKU44578,SKU13922,SKU77963,SKU43921,SKU169129,SKU45405,SKU96256,SKU83799,SKU78167,SKU11598,SKU102284
1,skuId2,SKU110189,SKU175661,SKU73653,SKU11825,SKU48603,SKU25734,SKU65661,SKU61210,SKU96298,SKU37073,SKU116797,SKU12504,SKU111801
1,skuId3,SKU102284,SKU40208,SKU79308,"SKU12221	",SKU48595,SKU25735,SKU153760,SKU4914,SKU27403,SKU120817,SKU116794,SKU74855,SKU33293
1,skuId4,SKU117278,SKU17963,SKU122629,"SKU95229	",SKU48598,SKU25733,SKU46405,SKU3951,SKU4951,SKU127693,SKU116801,SKU74910,SKU102284
1,skuId5,SKU112797,SKU18986,SKU129414,SKU58489,SKU48288,SKU86896,SKU119967,SKU3959,SKU96294,SKU130642,SKU116800,SKU74971,SKU133118
1,EARNPNT1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,EARNPNT2,1,1,1,1,1,1,1,1,1,1,1,1,1
1,EARNPNT3,1,1,1,1,1,1,1,1,1,1,1,1,1
1,TESTOFFER1,NA,NA,NA,NA,NA,NA,NA,NA,NA,lyl_50pts_signup,NA,NA,NA
1,TESTOFFER2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TESTOFFER3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lyl_tpc_loyalty_580,NA,NA
1,TESTOFFER4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,TESTPNT1,0,0,,0,0,,0,0,,50,,,
1,TESTPNT2,0,0,,0,0,,0,0,,0,,,
1,TESTPNT3,0,0,,0,0,,0,0,,0,,,
1,PERCNDISAMNT,,,,0.15,,,,,,0.15,,,
1,TIER1STATUS,,,,,BE EXCITED,BE EXCITED,MARINE,,,FAB,,,
1,TIER2STATUS,,,,,BE ENTHUSIASTIC,BE ENTHUSIASTIC,AQUAMARINE,,,FIERCE,,,
1,RUPWD,,,,,,,,Test@123,,,Test@123,,
1,LRID1,,,,,,,,elcqaloyruna11@test.com,,,elcqaloyruna14@test.com,,
1,LRID2,,,,,,,,elcqaloyruna12@test.com,,,elcqaloyruna15@test.com,,
1,LRID3,,,,,,,,elcqaloyruna13@test.com,,,elcqaloyruna16@test.com,,
1,LRID4,,,,,,,,,,,elcqaloyruna17@test.com,,
1,LRID5,,,,,,,,,,,elcqaloyruna18@test.com,,
1,TIER3STATUS,,,,,BE ENVIED,BE ENVIED,ULTRAMARINE,,,FEARLESS,,,
1,TIER2POINT,,,,,,,,,,,250,,
1,TIER3POINT,,,,,,,,,,,500,,
1,SIGNUPFLATPNT,,,,,,,,,,50,,,
1,BIRTHDAYDATE,,,,,,,,,,4,,,
1,BIRTHDAYMONTH,,,,,,,,,,5,,,
