1,CCMONTH,'03-30,'03-30,'03-30,'03-30,,,,
1,RID,,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com,test888@test.com
1,RPWD,,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
1,NPWD,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
1,TITLE,,,,,Mr,Mr,Mr,Mr
1,PAYMENTMETHOD,,,,,,,,
1,CCM,,2,2,2,7,7,7,7
1,CCY,,9,9,9,9,10,9,10
1,CCBANK,,,,,,,,
1,BIRTHYEAR,,1995,1998,1992,,,,
1,SIGNOUTASSERTTXT,,ログアウトしました。,ログアウトしました。,一定時間操作が行われなかったためログアウトしました。もう一度サインインしてください。,你已登出。,你已登出。,您已經登出，請您重新登入,你已登出。
1,ORDERMESSAGE1,,お客さまの注文番号 ,お客さまの注文番号 ,お客さまの注文番号,,,,
1,ORDERCONFIRMURL,,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,,,,
1,LRID1,,,,lmjptest001@gmail.com,csselcuser10+ru1@gmail.com,csselcuser10+ru1@gmail.com,csselcuser10+ru1@gmail.com,
1,LRID2,,,,lmjptest001+lyl2@gmail.com,csselcuser10+ru2@gmail.com,csselcuser10+ru2@gmail.com,csselcuser10+ru2@gmail.com,
1,LRID3,,,,lmjptest001+lyl3@gmail.com,csselcuser10+ru3@gmail.com,csselcuser10+ru3@gmail.com,csselcuser10+ru3@gmail.com,
1,LRID4,,,,lmjptest001+lyl4@gmail.com,csselcuser10+ru4@gmail.com,csselcuser10+ru4@gmail.com,csselcuser10+ru4@gmail.com,
1,LRID5,,,,lmjptest001+lyl5@gmail.com,csselcuser10+ru5@gmail.com,csselcuser10+ru5@gmail.com,csselcuser10+ru5@gmail.com,
1,WELCOMEOFFER1,,ly_welcome_10,ly_welcome10,ly_welcome10,ly_welcome_gift,ly_welcome,ly_welcome_gift,
1,BIRTHDAYOFFER1,,ly_bday_point_t1,ly_bd_100p,ly_bd_50,ly_birthday_double_points_t1,ly_birthday_20off,ly_birthday_double_points,
1,TIER1STATUS,,ブルー,ラバー,マリン,BLUE,LOVER,MARINE,
1,EARNPNT1,,100,100,100,1,1,1.2,
1,EARNPNT2,,,,100,1,1,1.5,
1,EARNPNT3,,,,100,1,1,1.5,
1,BDAYBONUS,,,,,2,,0.5,
1,TIER2UPBONUS,,,,,0,,0,1.5
1,TESTFLATPNT,,,,,0,0,0,
1,TESTOFFER1,,NA,NA,NA,test_ly_case10,0,test_ly_case10,
1,TESTOFFER2,,NA,NA,NA,test_global_pnts_chkout,0,test_global_pnts_chkout,
1,TESTOFFER3,,ly_double_pt_2311,NA,ly_doblepoint_lm2309,test_global_doublepoints,0,test_global_doublepoints,
1,TESTOFFER4,,NA,NA,NA,test_acac5401,0,test_acac5401,
1,TESTPNT1,,,,0,2000,0,2000,
1,TESTPNT2,,,,0,50,0,50,
1,TESTPNT3,,,2,0,2,0,2,
1,TESTPNT4,,,,0,0.3,0,0.3,
1,BRLOC,,EL-JP,MC-JP,LM-JP,,,,
1,TIMEOUT,30000,30000,30000,30000,30000,30000,30000,30000
1,POLLINGTIME,100,100,100,100,100,100,100,100
1,WAITFORLYLSECTION,,50000,50000,50000,50000,50000,50000,50000
